date,ticker,marketCap
2020-06-30,AMC,523612947.0
2020-07-31,AMC,493099372.0
2020-08-31,AMC,717679284.0
2020-09-30,AMC,813014530.0
2020-10-31,AMC,407370338.0
2020-11-30,AMC,737064128.0
2020-12-31,AMC,959206423.0
2021-01-31,AMC,5999564703.0
2021-02-28,AMC,3624171438.0
2021-03-31,AMC,5562697759.0
2021-04-30,AMC,5464628651.0
2021-05-31,AMC,14230917285.0
2021-06-30,AMC,32974942951.0
2021-07-31,AMC,21537268667.0
2021-08-31,AMC,27419002493.0
2021-09-30,AMC,22163621002.0
2021-10-31,AMC,20597143322.0
2021-11-30,AMC,19764406117.0
2021-12-31,AMC,15903780976.0
2022-01-31,AMC,9390247149.0
2022-02-28,AMC,11027401073.0
2022-03-31,AMC,14432400012.0
2022-04-30,AMC,8961676956.0
2022-05-31,AMC,8399375656.0
2022-06-30,AMC,14976146172.0
2022-07-31,AMC,16092449318.0
2022-08-31,AMC,10079885836.0
2022-09-30,AMC,9133054605.0
2022-10-31,AMC,8726849881.0
2022-11-30,AMC,9473742438.0
2022-12-31,AMC,5333074927.0
2023-01-31,AMC,8359957401.0
2023-02-28,AMC,11157027260.0
2023-03-31,AMC,7935098870.0
2023-04-30,AMC,8711186385.0
2023-05-31,AMC,7127334315.0
2023-06-30,AMC,7146724376.0
2023-07-31,AMC,8072550033.0
2023-08-31,AMC,2038440702.0
2023-09-30,AMC,1297780176.0
2023-10-31,AMC,2334863671.0
2023-11-30,AMC,1453824290.0
2023-12-31,AMC,1337955587.0
2024-01-31,AMC,1066814550.0
2024-02-29,AMC,1137935520.0
2024-03-31,AMC,979888920.0
2024-04-30,AMC,942232330.0
2024-05-31,AMC,1392445730.0
2024-06-30,AMC,1601473380.0
2024-07-31,AMC,1921439429.0
2024-08-31,AMC,1744131460.0
2024-09-30,AMC,1885600976.0
2024-10-31,AMC,1819294128.0
2024-11-30,AMC,2051368095.0
2024-12-31,AMC,1649382832.0
2025-01-31,AMC,1288839348.0
2025-02-28,AMC,1367578730.0
2025-03-31,AMC,1189379077.0
2025-04-30,AMC,1106495517.0
2025-05-31,AMC,1534263880.0
2025-06-30,AMC,1302357308.0
2020-06-30,EXPR,99380696.0
2020-07-31,EXPR,65178249.0
2020-08-31,EXPR,72003480.0
2020-09-30,EXPR,39569480.0
2020-10-31,EXPR,39634348.0
2020-11-30,EXPR,98728560.0
2020-12-31,EXPR,59107230.0
2021-01-31,EXPR,389718000.0
2021-02-28,EXPR,175388000.0
2021-03-31,EXPR,262104000.0
2021-04-30,EXPR,198860000.0
2021-05-31,EXPR,298433850.0
2021-06-30,EXPR,451476850.0
2021-07-31,EXPR,326259850.0
2021-08-31,EXPR,408420922.0
2021-09-30,EXPR,325083769.0
2021-10-31,EXPR,264474931.0
2021-11-30,EXPR,252044520.0
2021-12-31,EXPR,213268440.0
2022-01-31,EXPR,199890417.0
2022-02-28,EXPR,315059068.0
2022-03-31,EXPR,235632412.0
2022-04-30,EXPR,227689747.0
2022-05-31,EXPR,202435200.0
2022-06-30,EXPR,133593600.0
2022-07-31,EXPR,115190399.0
2022-08-31,EXPR,103773440.0
2022-09-30,EXPR,74416480.0
2022-10-31,EXPR,83632220.0
2022-11-30,EXPR,97342420.0
2022-12-31,EXPR,69922020.0
2023-01-31,EXPR,85698480.0
2023-02-28,EXPR,75355560.0
2023-03-31,EXPR,58238027.0
2023-04-30,EXPR,59656484.0
2023-05-31,EXPR,42631696.0
2023-06-30,EXPR,44350716.0
2023-07-31,EXPR,57913160.0
2023-08-31,EXPR,37797140.0
2023-09-30,EXPR,33714000.0
2023-10-31,EXPR,33339400.0
2023-11-30,EXPR,32178140.0
2023-12-31,EXPR,31354019.0
2024-01-31,EXPR,26821360.0
2024-02-29,EXPR,10301500.0
2024-03-31,EXPR,4869800.0
2024-04-30,EXPR,2659660.0
2024-05-31,EXPR,2262584.0
2020-06-30,KOSS,10070570.0
2020-07-31,KOSS,14069178.0
2020-08-31,KOSS,16068483.0
2020-09-30,KOSS,15848322.0
2020-10-31,KOSS,15329919.0
2020-11-30,KOSS,15996437.0
2020-12-31,KOSS,27185632.0
2021-01-31,KOSS,505779200.0
2021-02-28,KOSS,132055788.0
2021-03-31,KOSS,192517166.0
2021-04-30,KOSS,160074300.0
2021-05-31,KOSS,197482037.0
2021-06-30,KOSS,205356426.0
2021-07-31,KOSS,160429180.0
2021-08-31,KOSS,162286409.0
2021-09-30,KOSS,149506018.0
2021-10-31,KOSS,147951521.0
2021-11-30,KOSS,128291708.0
2021-12-31,KOSS,105604726.0
2022-01-31,KOSS,82466612.0
2022-02-28,KOSS,75643834.0
2022-03-31,KOSS,87305966.0
2022-04-30,KOSS,62238860.0
2022-05-31,KOSS,66337284.0
2022-06-30,KOSS,68431708.0
2022-07-31,KOSS,76308739.0
2022-08-31,KOSS,77096442.0
2022-09-30,KOSS,58332420.0
2022-10-31,KOSS,61547593.0
2022-11-30,KOSS,59251041.0
2022-12-31,KOSS,45471729.0
2023-01-31,KOSS,51830540.0
2023-02-28,KOSS,46214797.0
2023-03-31,KOSS,42606471.0
2023-04-30,KOSS,39009821.0
2023-05-31,KOSS,35505393.0
2023-06-30,KOSS,34168741.0
2023-07-31,KOSS,38232051.0
2023-08-31,KOSS,33522305.0
2023-09-30,KOSS,27347921.0
2023-10-31,KOSS,26522266.0
2023-11-30,KOSS,27169151.0
2023-12-31,KOSS,30958046.0
2024-01-31,KOSS,26337442.0
2024-02-29,KOSS,23103020.0
2024-03-31,KOSS,23749904.0
2024-04-30,KOSS,21532014.0
2024-05-31,KOSS,43497536.0
