date,ticker,marketCap
2020-06-25,AMC,504801705.0
2020-06-26,AMC,494161857.0
2020-06-29,AMC,522534786.0
2020-06-30,AMC,523612947.0
2020-07-01,AMC,557788151.0
2020-07-02,AMC,552905979.0
2020-07-06,AMC,522392403.0
2020-07-07,AMC,504084258.0
2020-07-08,AMC,540700549.0
2020-07-09,AMC,557788151.0
2020-07-10,AMC,561449780.0
2020-07-13,AMC,519951318.0
2020-07-14,AMC,515069146.0
2020-07-15,AMC,549244350.0
2020-07-16,AMC,534597833.0
2020-07-17,AMC,521171861.0
2020-07-20,AMC,506525345.0
2020-07-21,AMC,506525345.0
2020-07-22,AMC,491878828.0
2020-07-23,AMC,495540458.0
2020-07-24,AMC,488217200.0
2020-07-27,AMC,472350141.0
2020-07-28,AMC,506525345.0
2020-07-29,AMC,507745888.0
2020-07-30,AMC,502863716.0
2020-07-31,AMC,493099372.0
2020-08-03,AMC,501643173.0
2020-08-04,AMC,500422630.0
2020-08-05,AMC,506525345.0
2020-08-06,AMC,505304802.0
2020-08-07,AMC,579757925.0
2020-08-10,AMC,545582721.0
2020-08-11,AMC,556567608.0
2020-08-12,AMC,566331952.0
2020-08-13,AMC,648108333.0
2020-08-14,AMC,676180822.0
2020-08-17,AMC,683504080.0
2020-08-18,AMC,652990505.0
2020-08-19,AMC,657872677.0
2020-08-20,AMC,694488967.0
2020-08-21,AMC,633461817.0
2020-08-24,AMC,660313763.0
2020-08-25,AMC,676180822.0
2020-08-26,AMC,683504080.0
2020-08-27,AMC,795794036.0
2020-08-28,AMC,768942090.0
2020-08-31,AMC,717679284.0
2020-09-01,AMC,740869601.0
2020-09-02,AMC,859262272.0
2020-09-03,AMC,805558380.0
2020-09-04,AMC,856821186.0
2020-09-08,AMC,783588606.0
2020-09-09,AMC,764059918.0
2020-09-10,AMC,725002542.0
2020-09-11,AMC,706694397.0
2020-09-14,AMC,676180822.0
2020-09-15,AMC,673739736.0
2020-09-16,AMC,703032768.0
2020-09-17,AMC,698150596.0
2020-09-18,AMC,692047881.0
2020-09-21,AMC,649328876.0
2020-09-22,AMC,635902903.0
2020-09-23,AMC,583419554.0
2020-09-24,AMC,562670323.0
2020-09-25,AMC,595624984.0
2020-09-28,AMC,599286613.0
2020-09-29,AMC,593183898.0
2020-09-30,AMC,813014530.0
2020-10-01,AMC,802657657.0
2020-10-02,AMC,802657657.0
2020-10-05,AMC,712898091.0
2020-10-06,AMC,700815073.0
2020-10-07,AMC,697362782.0
2020-10-08,AMC,714624237.0
2020-10-09,AMC,699088927.0
2020-10-12,AMC,704267364.0
2020-10-13,AMC,611055507.0
2020-10-14,AMC,510939068.0
2020-10-15,AMC,479868449.0
2020-10-16,AMC,524748232.0
2020-10-19,AMC,611055507.0
2020-10-20,AMC,533378959.0
2020-10-21,AMC,517843650.0
2020-10-22,AMC,538557396.0
2020-10-23,AMC,512665213.0
2020-10-26,AMC,474690012.0
2020-10-27,AMC,481594594.0
2020-10-28,AMC,450523975.0
2020-10-29,AMC,434988666.0
2020-10-30,AMC,407370338.0
2020-11-02,AMC,371121282.0
2020-11-03,AMC,403918047.0
2020-11-04,AMC,398739610.0
2020-11-05,AMC,424631793.0
2020-11-06,AMC,429810229.0
2020-11-09,AMC,650756853.0
2020-11-10,AMC,605877070.0
2020-11-11,AMC,540283541.0
2020-11-12,AMC,507486777.0
2020-11-13,AMC,512665213.0
2020-11-16,AMC,536831250.0
2020-11-17,AMC,514391359.0
2020-11-18,AMC,562723433.0
2020-11-19,AMC,550640414.0
2020-11-20,AMC,578258742.0
2020-11-23,AMC,657661435.0
2020-11-24,AMC,790574639.0
2020-11-25,AMC,775039329.0
2020-11-27,AMC,768134747.0
2020-11-30,AMC,737064128.0
2020-12-01,AMC,716350382.0
2020-12-02,AMC,745694856.0
2020-12-03,AMC,626590816.0
2020-12-04,AMC,605877070.0
2020-12-07,AMC,614507798.0
2020-12-08,AMC,687005909.0
2020-12-09,AMC,666292163.0
2020-12-10,AMC,705993509.0
2020-12-11,AMC,676649036.0
2020-12-14,AMC,550640414.0
2020-12-15,AMC,493677613.0
2020-12-16,AMC,479868449.0
2020-12-17,AMC,491951467.0
2020-12-18,AMC,483320740.0
2020-12-21,AMC,462606994.0
2020-12-22,AMC,447071684.0
2020-12-23,AMC,441893248.0
2020-12-24,AMC,433262520.0
2020-12-28,AMC,412548774.0
2020-12-29,AMC,395287319.0
2020-12-30,AMC,372847428.0
2020-12-31,AMC,959206423.0
2021-01-04,AMC,909436278.0
2021-01-05,AMC,895862602.0
2021-01-06,AMC,909436278.0
2021-01-07,AMC,927534513.0
2021-01-08,AMC,968255540.0
2021-01-11,AMC,995402892.0
