accountingYearMonthNumber,symbolCode,issueName,issuerServicesGroupExchangeCode,marketClassCode,currentShortPositionQuantity,previousShortPositionQuantity,stockSplitFlag,averageDailyVolumeQuantity,daysToCoverQuantity,revisionFlag,changePercent,changePreviousNumber,settlementDate,date
20250530,AMC,"AMC ENTERTAINMENT HOLDINGS, IN",A,NYSE,64208209,64233103,,21483968,2.99,,-0.04,-24894,2025-05-30,2025-05-30
20250530,BB,BlackBerry Limited,A,NYSE,34254597,35266702,,11570248,2.96,,-2.87,-1012105,2025-05-30,2025-05-30
20250530,GME,GameStop Corp. Class A,A,NYSE,47491887,49516766,,18084761,2.63,,-4.09,-2024879,2025-05-30,2025-05-30
20250530,KOSS,Koss Corporation Common Stock,R,SC,287900,236504,,184047,1.56,,21.73,51396,2025-05-30,2025-05-30
20250530,NOK,Nokia Corporation,A,NYSE,36645057,30806409,,15242281,2.4,,18.95,5838648,2025-05-30,2025-05-30
20250515,AMC,"AMC ENTERTAINMENT HOLDINGS, IN",A,NYSE,64233103,62494313,,8048638,7.98,,2.78,1738790,2025-05-15,2025-05-15
20250515,BB,BlackBerry Limited,A,NYSE,35266702,31557588,,15193663,2.32,,11.75,3709114,2025-05-15,2025-05-15
20250515,GME,GameStop Corp. Class A,A,NYSE,49516766,48711464,,7697326,6.43,,1.65,805302,2025-05-15,2025-05-15
20250515,KOSS,Koss Corporation Common Stock,R,SC,236504,247005,,26069,9.07,,-4.25,-10501,2025-05-15,2025-05-15
20250515,NOK,Nokia Corporation,A,NYSE,30806409,30226330,,16866181,1.83,,1.92,580079,2025-05-15,2025-05-15
20250430,AMC,"AMC ENTERTAINMENT HOLDINGS, IN",A,NYSE,62494313,58484560,,6772004,9.23,,6.86,4009753,2025-04-30,2025-04-30
20250430,BB,BlackBerry Limited,A,NYSE,31557588,31474016,,11291575,2.79,,0.27,83572,2025-04-30,2025-04-30
20250430,GME,GameStop Corp. Class A,A,NYSE,48711464,50002641,,7230663,6.74,,-2.58,-1291177,2025-04-30,2025-04-30
20250430,KOSS,Koss Corporation Common Stock,R,SC,247005,240784,,26288,9.4,,2.58,6221,2025-04-30,2025-04-30
20250430,NOK,Nokia Corporation,A,NYSE,30226330,35544079,,23310810,1.3,,-14.96,-5317749,2025-04-30,2025-04-30
20250415,AMC,"AMC ENTERTAINMENT HOLDINGS, IN",A,NYSE,58484560,48494766,,9766825,5.99,,20.6,9989794,2025-04-15,2025-04-15
20250415,BB,BlackBerry Limited,A,NYSE,31474016,32861889,,19222873,1.64,,-4.22,-1387873,2025-04-15,2025-04-15
20250415,GME,GameStop Corp. Class A,A,NYSE,50002641,47564164,,13090592,3.82,,5.13,2438477,2025-04-15,2025-04-15
20250415,KOSS,Koss Corporation Common Stock,R,SC,240784,238330,,43753,5.5,,1.03,2454,2025-04-15,2025-04-15
20250415,NOK,Nokia Corporation,A,NYSE,35544079,41961248,,23695078,1.5,,-15.29,-6417169,2025-04-15,2025-04-15
20250331,AMC,"AMC ENTERTAINMENT HOLDINGS, IN",A,NYSE,48494766,39225652,,7655672,6.33,,23.63,9269114,2025-03-31,2025-03-31
