date,AMC,EXPR,KOSS,BB,GME,GNUS,NAKD,NOK
2020-06-21,4,1,4,25,0,78,1,3
2020-06-28,4,1,3,24,0,72,1,3
2020-07-05,4,2,3,23,0,100,1,3
2020-07-12,3,2,4,24,0,53,1,3
2020-07-19,3,2,4,25,0,52,1,3
2020-07-26,4,2,4,26,0,44,1,3
2020-08-02,4,2,4,28,0,45,1,4
2020-08-09,9,2,4,28,0,30,1,3
2020-08-16,11,2,6,28,0,29,2,3
2020-08-23,8,2,3,28,0,27,1,3
2020-08-30,9,2,4,27,0,23,1,3
2020-09-06,8,1,3,27,0,16,1,2
2020-09-13,7,2,3,28,0,21,1,3
2020-09-20,6,2,3,28,0,23,1,3
2020-09-27,7,2,3,27,0,20,1,3
2020-10-04,9,2,3,27,1,19,2,3
2020-10-11,11,2,4,28,1,26,2,3
2020-10-18,11,2,3,29,0,22,2,3
2020-10-25,8,2,3,27,0,22,2,3
2020-11-01,6,1,2,20,0,13,1,3
2020-11-08,9,2,3,23,0,23,1,3
2020-11-15,7,3,3,24,0,25,7,3
2020-11-22,8,4,3,28,0,21,4,3
2020-11-29,7,3,4,32,1,23,3,3
2020-12-06,6,3,4,31,1,25,2,3
2020-12-13,7,2,3,29,0,36,3,3
2020-12-20,9,2,3,32,1,16,3,2
2020-12-27,9,1,5,28,1,16,2,2
2021-01-03,7,2,3,26,1,16,6,3
2021-01-10,7,3,3,29,3,15,6,3
2021-01-17,8,7,3,35,6,15,4,3
2021-01-24,100,100,100,100,100,73,100,100
2021-01-31,72,29,39,50,74,48,48,41
2021-02-07,22,8,9,35,18,35,25,11
2021-02-14,15,5,6,30,8,24,14,7
2021-02-21,28,12,20,34,33,21,15,11
2021-02-28,21,5,8,32,20,24,9,7
2021-03-07,23,15,19,33,36,28,9,7
2021-03-14,26,11,9,32,20,29,7,9
2021-03-21,20,6,10,33,20,51,7,5
2021-03-28,21,4,8,33,12,44,5,4
2021-04-04,16,4,8,31,10,24,7,4
2021-04-11,15,4,6,27,10,21,6,4
2021-04-18,18,3,6,26,8,21,6,4
2021-04-25,17,4,5,27,8,22,10,6
2021-05-02,15,3,5,26,6,16,6,6
2021-05-09,20,4,5,24,6,16,5,5
2021-05-16,23,4,5,25,6,17,5,5
2021-05-23,49,9,8,30,13,18,6,9
2021-05-30,91,15,14,51,10,17,12,11
2021-06-06,58,8,8,48,12,25,9,8
2021-06-13,48,5,7,36,7,18,6,5
2021-06-20,40,9,7,34,6,16,5,5
2021-06-27,36,9,5,29,5,13,5,4
2021-07-04,36,4,5,30,4,11,4,4
2021-07-11,37,4,5,30,5,12,4,6
2021-07-18,31,3,5,30,4,13,4,4
2021-07-25,27,4,4,29,4,10,3,5
2021-08-01,25,4,4,28,3,10,3,4
2021-08-08,27,4,5,27,3,10,3,4
2021-08-15,25,4,5,28,3,12,4,3
2021-08-22,27,6,6,30,6,10,7,4
2021-08-29,24,3,5,25,4,11,5,3
2021-09-05,25,3,5,26,4,7,4,3
2021-09-12,21,3,4,26,4,9,4,3
2021-09-19,18,3,4,28,3,8,5,3
2021-09-26,23,3,4,28,3,6,11,3
2021-10-03,24,2,4,28,2,7,5,3
2021-10-10,26,3,8,30,3,6,5,3
2021-10-17,23,3,7,29,3,7,5,3
2021-10-24,21,3,6,28,3,40,4,4
2021-10-31,24,3,5,27,5,12,5,3
2021-11-07,24,2,6,32,3,9,10,3
2021-11-14,22,2,5,32,3,10,6,3
