ticker,date,marketCap
AAMI,2024-06-30,832433417
AAMI,2024-07-31,970884121
AAMI,2024-08-31,904156690
AAMI,2024-09-30,941598193
AAMI,2024-10-31,978298280
AAMI,2024-11-30,1155867388
AAMI,2024-12-31,976444740
AAMI,2025-01-31,923804211
AAMI,2025-02-28,914165804
AAMI,2025-03-31,958650758
AAMI,2025-04-30,1008108000
AAMI,2025-05-31,1124969820
AAMI,2025-06-30,1182507300
AAOI,2024-06-30,318021958
AAOI,2024-07-31,366358226
AAOI,2024-08-31,446789572
AAOI,2024-09-30,563309143
AAOI,2024-10-31,614876926
AAOI,2024-11-30,1744092849
AAOI,2024-12-31,1559613353
AAOI,2025-01-31,1181345763
AAOI,2025-02-28,908032724
AAOI,2025-03-31,637616757
AAOI,2025-04-30,589069030
AAOI,2025-05-31,771632220
AAOI,2025-06-30,1173461450
AAT,2024-06-30,1349736031
AAT,2024-07-31,1599497524
AAT,2024-08-31,1643525925
AAT,2024-09-30,1611560100
AAT,2024-10-31,1625472460
AAT,2024-11-30,1715508450
AAT,2024-12-31,1584010263
AAT,2025-01-31,1464576131
AAT,2025-02-28,1356329775
AAT,2025-03-31,1216228035
AAT,2025-04-30,1138115058
AAT,2025-05-31,1211639842
AAT,2025-06-30,1229261485
ABCB,2024-06-30,3465288400
ABCB,2024-07-31,4189110220
ABCB,2024-08-31,4240020740
ABCB,2024-09-30,4292307220
ABCB,2024-10-31,4264850010
ABCB,2024-11-30,4835193720
ABCB,2024-12-31,4303877450
ABCB,2025-01-31,4515735250
ABCB,2025-02-28,4442135300
ABCB,2025-03-31,3959952450
ABCB,2025-04-30,4030801000
ABCB,2025-05-31,4228213950
ABCB,2025-06-30,4189694350
ABG,2024-06-30,4580187000
ABG,2024-07-31,5411322000
ABG,2024-08-31,4937364000
ABG,2024-09-30,4795659000
ABG,2024-10-31,4488448000
ABG,2024-11-30,5118651000
ABG,2024-12-31,4787691000
ABG,2025-01-31,5814928000
ABG,2025-02-28,5260640000
ABG,2025-03-31,4328464000
ABG,2025-04-30,4275543999
ABG,2025-05-31,4467036000
ABG,2025-06-30,4657352000
ABM,2024-06-30,3190967000
ABM,2024-07-31,3511392000
ABM,2024-08-31,3611880000
ABM,2024-09-30,3334432000
ABM,2024-10-31,3353392000
ABM,2024-11-30,3584559000
ABM,2024-12-31,3208986000
ABM,2025-01-31,3345672000
ABM,2025-02-28,3406491000
ABM,2025-03-31,2969472000
ABM,2025-04-30,3055998000
ABM,2025-05-31,3301155000
ABM,2025-06-30,2720596000
ABOS,2024-06-30,145393062
ABOS,2024-07-31,198263267
ABOS,2024-08-31,164618591
ABOS,2024-09-30,148997849
ABOS,2024-10-31,173029760
ABOS,2024-11-30,136381096
ABOS,2024-12-31,103337218
ABOS,2025-01-31,90119667
ABOS,2025-02-28,76902115
ABOS,2025-03-31,66051180
ABOS,2025-04-30,67906313
ABOS,2025-05-31,61736140
ABOS,2025-06-30,72630753
ABR,2024-06-30,2707210744
ABR,2024-07-31,2544936732
ABR,2024-08-31,2563788115
ABR,2024-09-30,2939660271
ABR,2024-10-31,2784742442
ABR,2024-11-30,2771517749
ABR,2024-12-31,2616599920
ABR,2025-01-31,2529694796
ABR,2025-02-28,2331324405
ABR,2025-03-31,2219859138
ABR,2025-04-30,2191400747
ABR,2025-05-31,1820782234
ABR,2025-06-30,1923415053
ABSI,2024-06-30,306131465
ABSI,2024-07-31,437330665
ABSI,2024-08-31,496909978
ABSI,2024-09-30,431408208
ABSI,2024-10-31,433666890
ABSI,2024-11-30,346521138
ABSI,2024-12-31,297668504
ABSI,2025-01-31,421507691
ABSI,2025-02-28,437413642
ABSI,2025-03-31,288474204
ABSI,2025-04-30,352834983
ABSI,2025-05-31,329822813
ABSI,2025-06-30,347247414
ABUS,2024-06-30,542682955
ABUS,2024-07-31,708916413
ABUS,2024-08-31,727720562
ABUS,2024-09-30,723959732
ABUS,2024-10-31,723959732
ABUS,2024-11-30,653930291
ABUS,2024-12-31,618020824
ABUS,2025-01-31,629360656
ABUS,2025-02-28,652040319
ABUS,2025-03-31,647774970
ABUS,2025-04-30,674370396
ABUS,2025-05-31,640775805
ABUS,2025-06-30,654125301
ACA,2024-06-30,4045385000
ACA,2024-07-31,4515426000
ACA,2024-08-31,4446414000
ACA,2024-09-30,4605336000
ACA,2024-10-31,4560268000
ACA,2024-11-30,5290768000
ACA,2024-12-31,4711238000
ACA,2025-01-31,4933310000
ACA,2025-02-28,4084956000
ACA,2025-03-31,3755744000
ACA,2025-04-30,3899408999
ACA,2025-05-31,4201349000
ACA,2025-06-30,4129760000
ACAD,2024-06-30,2677967500
ACAD,2024-07-31,3134457960
ACAD,2024-08-31,2744835579
ACAD,2024-09-30,2546174380
ACAD,2024-10-31,2415389090
ACAD,2024-11-30,2708695680
ACAD,2024-12-31,3045622900
ACAD,2025-01-31,3097074840
ACAD,2025-02-28,3248053200
ACAD,2025-03-31,2752559370
ACAD,2025-04-30,2431411000
ACAD,2025-05-31,3598048560
ACAD,2025-06-30,3788209680
ACCD,2024-06-30,279667784
ACCD,2024-07-31,320289921
ACCD,2024-08-31,339038599
ACCD,2024-09-30,300760048
ACCD,2024-10-31,253828382
ACCD,2024-11-30,309078093
ACCD,2024-12-31,273846393
ACCD,2025-01-31,555656314
ACCD,2025-02-28,562108056
ACCD,2025-03-31,562914524
ACCD,2025-04-30,566140395
ACCO,2024-06-30,454960000
ACCO,2024-07-31,490560000
ACCO,2024-08-31,526080000
ACCO,2024-09-30,514180000
ACCO,2024-10-31,460600000
ACCO,2024-11-30,547080000
ACCO,2024-12-31,489825000
ACCO,2025-01-31,490758000
ACCO,2025-02-28,435711000
ACCO,2025-03-31,390927000
ACCO,2025-04-30,360138000
ACCO,2025-05-31,334947000
ACCO,2025-06-30,314421000
ACDC,2024-06-30,1187082000
ACDC,2024-07-31,1488257999
ACDC,2024-08-31,1097370000
ACDC,2024-09-30,1087758000
ACDC,2024-10-31,954792000
ACDC,2024-11-30,1452107000
ACDC,2024-12-31,1242376000
ACDC,2025-01-31,1163927000
ACDC,2025-02-28,1151119000
ACDC,2025-03-31,1215159000
ACDC,2025-04-30,664415000
ACDC,2025-05-31,1336068000
ACDC,2025-06-30,1501073999
ACEL,2024-06-30,864897480
ACEL,2024-07-31,1023714199
ACEL,2024-08-31,978402260
ACEL,2024-09-30,975045819
ACEL,2024-10-31,915790079
ACEL,2024-11-30,958925120
ACEL,2024-12-31,885927360
ACEL,2025-01-31,934869040
ACEL,2025-02-28,901955190
ACEL,2025-03-31,830770240
ACEL,2025-04-30,862594100
ACEL,2025-05-31,964953660
ACEL,2025-06-30,970113840
ACHR,2024-06-30,1175934246
ACHR,2024-07-31,1657662895
ACHR,2024-08-31,1351571665
ACHR,2024-09-30,1204488866
ACHR,2024-10-31,1252191395
ACHR,2024-11-30,3804276716
ACHR,2024-12-31,3875830510
ACHR,2025-01-31,3756574187
ACHR,2025-02-28,3529987172
ACHR,2025-03-31,2826374864
ACHR,2025-04-30,3311350579
ACHR,2025-05-31,4010987677
ACHR,2025-06-30,3991111623
ACHV,2024-06-30,161297932
ACHV,2024-07-31,171088149
ACHV,2024-08-31,150818669
ACHV,2024-09-30,162842937
ACHV,2024-10-31,160781634
ACHV,2024-11-30,151505770
ACHV,2024-12-31,120929776
ACHV,2025-01-31,112341013
ACHV,2025-02-28,105470003
ACHV,2025-03-31,85629959
ACHV,2025-04-30,89728043
ACHV,2025-05-31,124172557
ACHV,2025-06-30,116194991
ACIC,2024-06-30,504512763
ACIC,2024-07-31,586890231
ACIC,2024-08-31,539785200
ACIC,2024-09-30,540383933
ACIC,2024-10-31,582578952
ACIC,2024-11-30,658338191
ACIC,2024-12-31,643810805
ACIC,2025-01-31,583064912
ACIC,2025-02-28,580673341
ACIC,2025-03-31,553409436
ACIC,2025-04-30,546713039
ACIC,2025-05-31,516579249
ACIC,2025-06-30,496968370
ACIW,2024-06-30,4228172410
ACIW,2024-07-31,4556225850
ACIW,2024-08-31,5307692200
ACIW,2024-09-30,5364605500
ACIW,2024-10-31,5185434000
ACIW,2024-11-30,5953031400
ACIW,2024-12-31,5438610700
ACIW,2025-01-31,5610433500
ACIW,2025-02-28,6027714400
ACIW,2025-03-31,5750239840
ACIW,2025-04-30,5608349440
ACIW,2025-05-31,4873491000
ACIW,2025-06-30,4697556500
ACLS,2024-06-30,4640797077
ACLS,2024-07-31,4118757300
ACLS,2024-08-31,3563939340
ACLS,2024-09-30,3417900300
ACLS,2024-10-31,2780935380
ACLS,2024-11-30,2416512000
ACLS,2024-12-31,2274268500
ACLS,2025-01-31,2213400000
ACLS,2025-02-28,1776510960
ACLS,2025-03-31,1610500080
ACLS,2025-04-30,1588127520
ACLS,2025-05-31,1817415720
ACLS,2025-06-30,2129673159
ACLX,2024-06-30,2953598097
ACLX,2024-07-31,3326731206
ACLX,2024-08-31,3699716924
ACLX,2024-09-30,4483987860
ACLX,2024-10-31,4524795318
ACLX,2024-11-30,4728832605
ACLX,2024-12-31,4117794623
ACLX,2025-01-31,3658173786
ACLX,2025-02-28,3480446570
ACLX,2025-03-31,3522327908
ACLX,2025-04-30,3487426793
ACLX,2025-05-31,3429216155
ACLX,2025-06-30,3481157232
ACMR,2024-06-30,1433833189
ACMR,2024-07-31,1121891208
ACMR,2024-08-31,1127516290
ACMR,2024-09-30,1268768330
ACMR,2024-10-31,1175016976
ACMR,2024-11-30,1074390522
ACMR,2024-12-31,943763635
ACMR,2025-01-31,1284393556
ACMR,2025-02-28,1621273423
ACMR,2025-03-31,1458771076
ACMR,2025-04-30,1222604222
ACMR,2025-05-31,1426689656
ACMR,2025-06-30,1545000506
ACNB,2024-06-30,308377260
ACNB,2024-07-31,352876167
ACNB,2024-08-31,357470022
ACNB,2024-09-30,371346665
ACNB,2024-10-31,357145866
ACNB,2024-11-30,398472744
ACNB,2024-12-31,338693329
ACNB,2025-01-31,349492740
ACNB,2025-02-28,348387288
ACNB,2025-03-31,350002948
ACNB,2025-04-30,410981991
ACNB,2025-05-31,407647849
ACNB,2025-06-30,404902085
ACRE,2024-06-30,361736040
ACRE,2024-07-31,420484148
ACRE,2024-08-31,384248350
ACRE,2024-09-30,380982784
ACRE,2024-10-31,345605811
ACRE,2024-11-30,393231141
ACRE,2024-12-31,320793825
ACRE,2025-01-31,308267072
ACRE,2025-02-28,266495469
ACRE,2025-03-31,252325976
ACRE,2025-04-30,221807067
ACRE,2025-05-31,252760542
ACRE,2025-06-30,265919442
ACRV,2024-06-30,209569172
ACRV,2024-07-31,302791322
ACRV,2024-08-31,342898525
ACRV,2024-09-30,252928312
ACRV,2024-10-31,289060928
ACRV,2024-11-30,288836892
ACRV,2024-12-31,229392888
ACRV,2025-01-31,231298145
ACRV,2025-02-28,202338245
ACRV,2025-03-31,381663651
ACRV,2025-04-30,53539376
ACRV,2025-05-31,40267966
ACRV,2025-06-30,45253523
ACT,2024-06-30,4869359880
ACT,2024-07-31,5349277790
ACT,2024-08-31,5588211150
ACT,2024-09-30,5710821690
ACT,2024-10-31,5358709370
ACT,2024-11-30,5477302810
ACT,2024-12-31,5037065180
ACT,2025-01-31,5254850580
ACT,2025-02-28,5278602060
ACT,2025-03-31,5335410750
ACT,2025-04-30,5434031490
ACT,2025-05-31,5374817400
ACT,2025-06-30,5508428680
ACTG,2024-06-30,501399813
ACTG,2024-07-31,535426946
ACTG,2024-08-31,481383852
ACTG,2024-09-30,466371881
ACTG,2024-10-31,452360709
ACTG,2024-11-30,454338989
ACTG,2024-12-31,433369497
ACTG,2025-01-31,435366592
ACTG,2025-02-28,419389836
ACTG,2025-03-31,317484272
ACTG,2025-04-30,306570750
ACTG,2025-05-31,358147315
ACTG,2025-06-30,343744608
ACVA,2024-06-30,2972735966
ACVA,2024-07-31,2782155085
ACVA,2024-08-31,3075616931
ACVA,2024-09-30,3341918344
ACVA,2024-10-31,2842192236
ACVA,2024-11-30,3748658060
ACVA,2024-12-31,3579620428
ACVA,2025-01-31,3506702234
ACVA,2025-02-28,2673744490
ACVA,2025-03-31,2345769606
ACVA,2025-04-30,2445660433
ACVA,2025-05-31,2757523860
ACVA,2025-06-30,2634630550
ADCT,2024-06-30,302384334
ADCT,2024-07-31,348018591
ADCT,2024-08-31,303992143
ADCT,2024-09-30,331999532
ADCT,2024-10-31,297218629
ADCT,2024-11-30,255059958
ADCT,2024-12-31,209739387
ADCT,2025-01-31,177066417
ADCT,2025-02-28,185498151
ADCT,2025-03-31,148609314
ADCT,2025-04-30,150717248
ADCT,2025-05-31,331255335
ADCT,2025-06-30,296950575
ADEA,2024-06-30,1205890350
ADEA,2024-07-31,1266238750
ADEA,2024-08-31,1369204200
ADEA,2024-09-30,1294223970
ADEA,2024-10-31,1350730810
ADEA,2024-11-30,1321504200
ADEA,2024-12-31,1524309300
ADEA,2025-01-31,1401099750
ADEA,2025-02-28,1715256360
ADEA,2025-03-31,1442473860
ADEA,2025-04-30,1343181030
ADEA,2025-05-31,1386052320
ADEA,2025-06-30,1483205520
ADMA,2024-06-30,2598429271
ADMA,2024-07-31,2880536497
ADMA,2024-08-31,4060430518
ADMA,2024-09-30,4726310842
ADMA,2024-10-31,3856234609
ADMA,2024-11-30,4754682893
ADMA,2024-12-31,4054838966
ADMA,2025-01-31,3818405207
ADMA,2025-02-28,3875149310
ADMA,2025-03-31,4690845778
ADMA,2025-04-30,5627123464
ADMA,2025-05-31,4717465443
ADMA,2025-06-30,4218136944
ADNT,2024-06-30,2236255000
ADNT,2024-07-31,2331280000
ADNT,2024-08-31,2004132000
ADNT,2024-09-30,1999702000
ADNT,2024-10-31,1730358000
ADNT,2024-11-30,1663395000
ADNT,2024-12-31,1490395000
ADNT,2025-01-31,1476321000
ADNT,2025-02-28,1340801000
ADNT,2025-03-31,1089242000
ADNT,2025-04-30,1067660000
ADNT,2025-05-31,1309560000
ADNT,2025-06-30,1585080000
ADPT,2024-06-30,527750847
ADPT,2024-07-31,670734132
ADPT,2024-08-31,692846246
ADPT,2024-09-30,754760166
ADPT,2024-10-31,713484219
ADPT,2024-11-30,876247404
ADPT,2024-12-31,885098388
ADPT,2025-01-31,1143252084
ADPT,2025-02-28,1215059612
ADPT,2025-03-31,1092965244
ADPT,2025-04-30,1098075406
ADPT,2025-05-31,1420336666
ADPT,2025-06-30,1548644390
ADTN,2024-06-30,414561640
