Ticker,Name,Sector,Price,Dividend Yield,5-Year Average Dividend Yield,Dividends Per Share (TTM),Market Cap ($M),Trailing P/E Ratio,Payout Ratio,Beta,52-Week High,52-Week Low
AAMI,Acadian Asset Management Inc.,N/A,$31.44,,0.1%,4.0%,"$1,125.40",$12.44,0,114.8%,32.2,$21.42
AAOI,"APPLIED OPTOELECTRONICS, INC.",Technology,$20.00,,0.0%,0.0%,$572.80,,0,243.9%,44.5,$6.70
AAT,"American Assets Trust, Inc.",Real Estate,$20.32,6.7%,6.2%,135.0%,"$1,242.87",$15.52,1,86.8%,27.9,$16.41
ABCB,Ameris Bancorp,Financial Services,$60.60,1.0%,1.0%,70.0%,"$4,180.14",$11.23,0,107.8%,74.1,$46.48
ABG,ASBURY AUTOMOTIVE GROUP INC,Consumer Cyclical,$235.68,,0.0%,90.0%,"$4,635.43",$11.16,0,118.3%,312.6,$201.68
ABM,ABM INDUSTRIES INC /DE/,Industrials,$44.02,2.4%,1.7%,98.0%,"$2,739.98",$30.96,1,100.0%,58.9,$40.85
ABOS,"Acumen Pharmaceuticals, Inc.",N/A,$1.21,,NaN,0.0%,$73.90,,0,,NaN,NaN
ABR,ARBOR REALTY TRUST INC,Real Estate,$10.24,11.7%,17.5%,0.0%,"$1,965.80",$10.04,2,,14.5,$8.43
ABSI,Absci Corp,N/A,$3.00,,NaN,0.0%,$350.79,,0,,NaN,NaN
ABUS,Arbutus Biopharma Corp,Healthcare,$3.48,,NaN,0.0%,$664.60,,0,,NaN,NaN
ACA,"Arcosa, Inc.",Industrials,$86.89,,0.2%,0.0%,"$4,247.00",$54.38,0,,NaN,NaN
ACAD,ACADIA PHARMACEUTICALS INC,Healthcare,$22.95,,NaN,0.0%,"$3,840.95",$16.78,0,,25.2,$13.40
ACCD,"Accolade, Inc.",N/A,$7.03,,NaN,0.0%,$572.73,,0,,NaN,NaN
ACCO,ACCO BRANDS Corp,Industrials,$3.39,9.0%,8.1%,0.0%,$305.44,,,,6.1,$3.34
ACDC,ProFrac Holding Corp.,N/A,$9.64,,NaN,0.0%,"$1,540.92",,0,,NaN,NaN
ACEL,"Accel Entertainment, Inc.",Consumer Cyclical,$11.29,,NaN,0.0%,$953.91,$22.46,0,,13.0,$9.02
ACHR,Archer Aviation Inc.,N/A,$10.30,,NaN,0.0%,"$5,599.91",,0,253.3%,13.9,$2.82
ACHV,"ACHIEVE LIFE SCIENCES, INC.",Healthcare,$3.16,,0.0%,0.0%,$108.91,,0,170.6%,5.3,$1.84
ACIC,AMERICAN COASTAL INSURANCE Corp,N/A,$10.10,5.0%,1.6%,50.0%,$488.85,$6.65,0,44.2%,14.5,$8.49
ACIW,"ACI WORLDWIDE, INC.",Technology,$44.77,,0.0%,0.0%,"$4,697.41",$17.41,0,117.3%,59.7,$35.99
ACLS,AXCELIS TECHNOLOGIES INC,Technology,$66.89,,0.0%,0.0%,"$2,149.14",$12.08,0,164.1%,158.6,$40.40
ACLX,"Arcellx, Inc.",N/A,$63.81,,0.0%,0.0%,"$3,516.91",,0,,107.4,$47.86
ACMR,"ACM Research, Inc.",Technology,$25.27,,NaN,0.0%,"$1,608.75",$15.10,0,,NaN,NaN
ACNB,ACNB CORP,Financial Services,$41.27,3.3%,2.7%,0.0%,$430.57,$17.36,0,,NaN,NaN
ACRE,Ares Commercial Real Estate Corp,Real Estate,$4.84,19.0%,26.0%,0.0%,$265.68,,,,7.2,$3.35
ACRV,"Acrivon Therapeutics, Inc.",N/A,$1.25,,NaN,0.0%,$25.90,,0,,10.2,$1.05
ACT,"Enact Holdings, Inc.",NaN,$35.89,3.0%,NaN,0.0%,"$5,382.88",$7.77,0,,NaN,NaN
ACTG,ACACIA RESEARCH CORP,Industrials,$3.65,,NaN,0.0%,$351.99,,0,,NaN,NaN
ACVA,ACV Auctions Inc.,N/A,$15.53,,NaN,0.0%,"$2,658.35",,0,,23.5,$11.88
ADCT,ADC Therapeutics SA,N/A,$3.04,,NaN,0.0%,$300.51,,0,,NaN,NaN
ADEA,Adeia Inc.,N/A,$13.06,2.0%,1.2%,0.0%,"$1,372.07",$18.16,0,,17.3,$9.53
ADMA,"ADMA BIOLOGICS, INC.",Healthcare,$18.15,,NaN,0.0%,"$4,307.96",$20.83,0,,25.7,$10.21
ADNT,Adient plc,Consumer Cyclical,$18.90,,NaN,0.0%,"$1,587.07",,,,NaN,NaN
ADPT,Adaptive Biotechnologies Corp,Healthcare,$10.47,,0.0%,0.0%,"$1,590.57",,0,182.3%,10.9,$2.99
ADRO,,Healthcare,$40.39,,0.0%,0.0%,"$2,891.60",,0,112.5%,NaN,NaN
ADTN,"ADTRAN Holdings, Inc.",Technology,$7.95,,1.1%,36.0%,$635.02,,0,127.9%,12.4,$4.62
ADUS,Addus HomeCare Corp,Healthcare,$115.22,,0.0%,0.0%,"$2,118.84",$26.82,0,45.0%,136.7,$88.96
ADV,Advantage Solutions Inc.,N/A,$1.59,,NaN,0.0%,$512.41,,0,,NaN,NaN
ADVM,"Adverum Biotechnologies, Inc.",Healthcare,$2.29,,NaN,0.0%,$47.84,,0,,NaN,NaN
AEHR,AEHR TEST SYSTEMS,Technology,$11.51,,NaN,0.0%,$342.67,$14.99,0,,NaN,NaN
AEIS,ADVANCED ENERGY INDUSTRIES INC,Industrials,$129.10,,0.3%,0.0%,"$4,856.41",$66.06,0,,NaN,NaN
AEO,AMERICAN EAGLE OUTFITTERS INC,Consumer Cyclical,$9.65,5.0%,4.3%,0.0%,"$1,659.91",$8.44,0,,22.3,$9.27
AESI,Atlas Energy Solutions Inc.,N/A,$14.57,7.0%,2.7%,0.0%,"$2,914.00",,,,26.1,$11.54
AEVA,"Aeva Technologies, Inc.",N/A,$28.61,,NaN,0.0%,"$1,519.18",,0,,NaN,NaN
AEYE,AUDIOEYE INC,Technology,$11.61,,NaN,0.0%,$145.26,,0,,NaN,NaN
AFCG,Advanced Flower Capital Inc.,N/A,$4.59,30.0%,21.8%,0.0%,$103.72,$4.96,2,,9.8,$4.32
AFRI,Forafric Global PLC,N/A,$7.74,,NaN,0.0%,$209.29,,0,,12.0,$7.53
AGEN,AGENUS INC,Healthcare,$4.44,,NaN,0.0%,$122.55,,0,,18.7,$1.38
AGIO,"AGIOS PHARMACEUTICALS, INC.",Healthcare,$35.49,,0.0%,0.0%,"$2,055.99",$3.09,0,149.1%,62.6,$23.42
AGL,"agilon health, inc.",N/A,$2.18,,0.0%,0.0%,$902.41,,0,59.8%,7.7,$1.50
AGM,FEDERAL AGRICULTURAL MORTGAGE CORP,Financial Services,$188.46,3.2%,2.3%,580.0%,"$2,061.56",$11.62,0,90.6%,212.3,$158.35
AGS,"PlayAGS, Inc.",Consumer Cyclical,$12.39,,0.0%,0.0%,$514.25,$10.18,0,72.2%,12.4,$11.09
AGX,ARGAN INC,Industrials,$206.95,1.0%,0.5%,143.0%,"$2,813.01",$26.00,0,84.8%,246.6,$63.03
AGYS,AGILYSYS INC,Technology,$108.44,,0.0%,12.0%,"$3,039.04",$130.85,0,63.7%,142.6,$63.71
AHCO,AdaptHealth Corp.,Healthcare,$8.49,,0.0%,0.0%,"$1,144.36",$13.41,0,,11.9,$7.11
AHH,"Armada Hoffler Properties, Inc.",Real Estate,$6.95,11.0%,9.5%,0.0%,$556.28,$77.06,4,,11.8,$6.10
AHR,"American Healthcare REIT, Inc.",N/A,$35.78,3.0%,0.7%,0.0%,"$5,700.42",,,,36.3,$13.70
