date,ticker,d2c,shorts,volume
2017-12-29,AMC,7.72,20259697,2624537
2018-01-12,AMC,8.26,20081343,2431065
2018-01-31,AMC,9.61,18020489,1874317
2018-02-15,AMC,8.2,16803128,2048127
2018-02-28,AMC,8.1,17696285,2184751
2018-03-15,AMC,9.27,17165872,1852036
2018-05-15,AMC,8.03,14791035,1842358
2018-05-31,AMC,9.87,14390257,1457745
2018-06-15,AMC,10.22,13619867,1333280
2018-06-29,AMC,7.89,12431492,1575409
2018-07-13,AMC,9.09,12828248,1410479
2018-07-31,AMC,8.86,14309742,1615217
2018-08-15,AMC,5.5,14583303,2650033
2018-08-31,AMC,7.88,12272626,1557485
2018-09-14,AMC,5.01,11301181,2257023
2018-09-28,AMC,5.51,11409687,2070578
2018-10-15,AMC,6.15,10297346,1674470
2018-10-31,AMC,5.54,10800877,1948065
2018-11-15,AMC,4.47,10728749,2397897
2018-11-30,AMC,5.1,9411793,1847066
2018-12-14,AMC,6.57,9477334,1443579
2018-12-31,AMC,6.49,8989792,1385825
2019-01-15,AMC,8.21,9105685,1109414
2019-01-31,AMC,12.34,11161700,904177
2019-02-15,AMC,7.69,9902472,1287852
2019-02-28,AMC,7.0,10866220,1552710
2019-03-15,AMC,4.13,9655863,2338349
2019-03-29,AMC,5.87,8633749,1471976
2019-04-15,AMC,6.05,8802857,1453839
2019-04-30,AMC,5.72,9759225,1705860
2019-05-15,AMC,5.65,11936861,2112363
2019-05-31,AMC,6.77,11150210,1648191
2019-06-14,AMC,5.04,11949987,2370145
2019-06-28,AMC,4.83,11819595,2447821
2019-07-15,AMC,4.97,13381021,2690808
2019-07-31,AMC,4.35,14910612,3426297
2019-08-15,AMC,4.15,14627540,3522240
2019-08-30,AMC,8.35,15531089,1859401
2019-09-13,AMC,8.5,16224896,1907850
2019-09-30,AMC,9.15,17140758,1872560
2019-10-15,AMC,7.43,19147776,2578771
2019-10-31,AMC,10.57,21029583,1990462
2019-11-15,AMC,7.83,23914104,3056041
2019-11-29,AMC,5.82,28577618,4909128
2019-12-13,AMC,11.47,28596263,2493198
2019-12-31,AMC,7.52,29555936,3932394
2020-01-15,AMC,7.85,29054647,3701087
2020-01-31,AMC,13.75,28212015,2051380
2020-02-14,AMC,16.55,27749793,1676612
2020-02-28,AMC,5.67,24933820,4395522
2020-03-13,AMC,5.18,22074612,4259437
2020-03-31,AMC,3.22,18985259,5901957
2020-04-15,AMC,2.64,24185611,9159995
2020-04-30,AMC,2.06,21877408,10603680
2020-05-15,AMC,1.44,22635737,15751424
2020-05-29,AMC,4.08,20296533,4976428
2020-06-15,AMC,1.9,15896168,8344953
2020-06-30,AMC,2.82,17737420,6280921
2020-07-15,AMC,4.4,16665023,3785508
2020-07-31,AMC,5.78,17601239,3043253
