symbol,timestamp,title,summary,source,url
AAPL,2025-06-11 20:30:50+00:00,"Snapchat Parent To Launch Light Weight AR Smart Glasses To Compete With Meta, Apple","Snap Inc announced launch of lightweight immersive Specs in 2026. Features include AI assistance, shared experiences, and location-based tools.",benzinga,https://www.benzinga.com/markets/tech/25/06/45893545/snapchat-parent-to-launch-light-weight-ar-smart-glasses-to-compete-with-meta-apple
AAPL,2025-06-11 19:22:42+00:00,Apple's AI Future In Question? Stock Falls After WWDC 2025 Event,"Apple shares are trading lower Wednesday slid following the company&#39;s WWDC 2025 event. While some analysts are bearish, others remain bullish on Apple&#39;s long-term ecosystem value.",benzinga,https://www.benzinga.com/trading-ideas/movers/25/06/45892008/apples-ai-future-in-question-stock-falls-after-wwdc-2025-event
AAPL,2025-06-11 17:35:15+00:00,10 Information Technology Stocks Whale Activity In Today's Session, ,benzinga,https://www.benzinga.com/insights/options/25/06/45890404/10-information-technology-stocks-whale-activity-in-todays-session
AAPL,2025-06-11 16:05:41+00:00,'Apple Expands Tools To Help Parents Protect Kids And Teens Online',,benzinga,https://www.benzinga.com/news/25/06/45888744/apple-expands-tools-to-help-parents-protect-kids-and-teens-online
AAPL,2025-06-11 16:01:29+00:00,"Nvidia, Apple, Amazon, Microsoft And Alphabet's Insitutional Investors Sold 8.4 Billion Shares In Q1, Filings Reveal",Latest 13F filings reveal that the first quarter of 2025 saw institutional investors significantly retreating from the technology sector.,benzinga,https://www.benzinga.com/markets/equities/25/06/45888626/nvidia-apple-amazon-microsoft-and-alphabets-insitutional-investors-sold-8-4-billion-shares-in-q1-filings-reveal
AAPL,2025-06-11 15:53:57+00:00,"Top 10 Trending Stocks On WallStreetBets As Of June 11, 2025 (Via Swaggy Stocks)",,benzinga,https://www.benzinga.com/wiim/25/06/45888424/top-10-trending-stocks-on-wallstreetbets-as-of-june-11-2025-via-swaggy-stocks
AAPL,2025-06-11 15:00:43+00:00,"Comparing Apple With Industry Competitors In Technology Hardware, Storage &amp; Peripherals Industry", ,benzinga,https://www.benzinga.com/insights/news/25/06/45886489/comparing-apple-with-industry-competitors-in-technology-hardware-storage-amp-peripherals-industry
AAPL,2025-06-11 12:04:18+00:00,"Jim Cramer Says 'Apple Buyback Is Not Working Right Now,' Michael Saylor Quips Tim Cook's Company 'Should Buy Bitcoin'",Apple Inc. (NASDAQ:AAPL) is under scrutiny as CNBC&#39;s “Mad Money” host Jim Cramer declared that the tech giant&#39;s stock buyback program &#34;is not working right now.&#34;,benzinga,https://www.benzinga.com/markets/equities/25/06/45880840/jim-cramer-says-apple-buyback-is-not-working-right-now-michael-saylor-quips-tim-cooks-company-should-buy-bitcoin
AAPL,2025-06-11 09:50:28+00:00,"Qualcomm Taps Vietnam For Next-Gen AI Push, Joining Apple And Nvidia In Supply Chain Shakeup","Qualcomm launches AI research center in Vietnam. Major tech companies including Nvidia, Apple, and Alibaba have reached out to Vietnam for supply chain diversification.",benzinga,https://www.benzinga.com/markets/tech/25/06/45878443/qualcomm-taps-vietnam-for-next-gen-ai-push-joining-apple-and-nvidia-in-supply-chain-shakeup
AAPL,2025-06-11 11:51:20+00:00,"Quanta Services, Apple And Alphabet On CNBC's 'Final Trades'",Quanta Services shares fell 1.9% to settle at $348.76 during yesterday&#39;s session. Brenda Vingiello picked the stock as her final trade.,benzinga,https://www.benzinga.com/analyst-stock-ratings/analyst-color/25/06/45880524/quanta-services-apple-and-alphabet-on-cnbcs-final-trades
AAPL,2025-06-11 06:06:24+00:00,Apple Executives Say Reliability Took Priority Over Deadline Amid Siri Delay: 'It Would've Been More Disappointing To Ship Something That Didn't Hit Our Quality Standard',"Apple executives Craig Federighi and Greg Joswiak explained the delay of the Siri upgrade, emphasizing that reliability was prioritized over meeting the initial deadline to ensure a higher-quality product.",benzinga,https://www.benzinga.com/markets/tech/25/06/45876850/apple-executives-say-reliability-took-priority-over-deadline-amid-siri-delay-it-wouldve-been-more-disappointing-to-ship-something-that-didnt-hit-our-quality-standard
AAPL,2025-06-10 18:04:06+00:00,"Benzinga Market Summary: Analysts React To Apple WWDC 2025, CoreWeave Falls On Cautious Commentary From DA Davidson, Investors Await Trade Talk Developments",,benzinga,https://www.benzinga.com/economics/macro-economic-events/25/06/45868813/benzinga-market-summary-analysts-react-to-apple-wwdc-2025-coreweave-falls-on-caut
AAPL,2025-06-10 17:41:37+00:00,"Apple Polishes Its Core: Analyst Sees Strength In AI, UI And App Store","Apple points to AI tools, visual redesign, and strong App Store performance to justify analyst&#39;s $235 price target outlook.",benzinga,https://www.benzinga.com/analyst-stock-ratings/reiteration/25/06/45868224/apple-wwdc-ai-ui-overhaul-resilient-app-store-revenue-amid-legal-pressure
AAPL,2025-06-10 17:35:12+00:00,10 Information Technology Stocks Whale Activity In Today's Session, ,benzinga,https://www.benzinga.com/insights/options/25/06/45868019/10-information-technology-stocks-whale-activity-in-todays-session
AAPL,2025-06-10 17:01:26+00:00,"CNBC Halftime Report Final Trades: Apple, Alphabet Inc. - Class A, Quanta Services",,benzinga,https://www.benzinga.com/news/25/06/45867016/cnbc-halftime-report-final-trades-apple-alphabet-inc-class-a-quanta-services
AAPL,2025-06-10 15:12:49+00:00,Apple Stock Disappoints After WWDC: Analyst Says This Price Is 'Better Entry Level' For Investors, ,benzinga,https://www.benzinga.com/analyst-stock-ratings/analyst-color/25/06/45863934/apple-stock-disappoints-after-wwdc-analyst-says-this-price-is-better-entry-level-for-investors
AAPL,2025-06-10 15:00:44+00:00,"Competitor Analysis: Evaluating Apple And Competitors In Technology Hardware, Storage &amp; Peripherals Industry", ,benzinga,https://www.benzinga.com/insights/news/25/06/45863289/competitor-analysis-evaluating-apple-and-competitors-in-technology-hardware-storage-amp-peripherals
AAPL,2025-06-10 13:53:48+00:00,"Morgan Stanley Reiterates Overweight on Apple, Maintains $235 Price Target",,benzinga,https://www.benzinga.com/news/25/06/45860901/morgan-stanley-reiterates-overweight-on-apple-maintains-235-price-target
AAPL,2025-06-10 13:45:25+00:00,"Wedbush Reiterates Outperform on Apple, Maintains $270 Price Target",,benzinga,https://www.benzinga.com/news/25/06/45860616/wedbush-reiterates-outperform-on-apple-maintains-270-price-target
AAPL,2025-06-10 13:40:40+00:00,"Goldman Sachs Stays Bullish On Apple Despite Post-WWDC25 Stock Dip, Sees 25% Upside","Apple stock fell after WWDC25 due to weak AI updates, but Goldman Sachs&#39; Michael Ng sees 25% upside on services and ecosystem strength.",benzinga,https://www.benzinga.com/news/25/06/45860365/goldman-sachs-stays-bullish-on-apple-despite-post-wwdc25-stock-dip-sees-25-upside
AAPL,2025-06-10 13:17:53+00:00,"Top 10 Trending Stocks On WallStreetBets As Of June 10, 2025 (Via Swaggy Stocks)",,benzinga,https://www.benzinga.com/trading-ideas/25/06/45859789/top-10-trending-stocks-on-wallstreetbets-as-of-june-10-2025-via-swaggy-stocks
AAPL,2025-06-10 13:11:24+00:00,"B of A Securities Reiterates Buy on Apple, Maintains $235 Price Target",,benzinga,https://www.benzinga.com/news/25/06/45859606/b-of-a-securities-reiterates-buy-on-apple-maintains-235-price-target
AAPL,2025-06-10 10:25:36+00:00,Needham Reiterates Hold on Appleto Hold,,benzinga,https://www.benzinga.com/news/25/06/45855543/needham-reiterates-hold-on-appleto-hold
AAPL,2025-06-10 10:25:36+00:00,Needham Reiterates Hold on Appleto Hold,,benzinga,https://www.benzinga.com/news/25/06/45855542/needham-reiterates-hold-on-appleto-hold
AAPL,2025-06-10 03:21:00+00:00,"Tim Cook's Liquid Glass Reveal Is 'Cool,' Says Elon Musk — Apple's New Software Design A Hit Or A Miss With Everyone Else?","Apple&#39;s new Liquid Glass design in iOS 26 earned praise from Elon Musk, but sparked backlash from users and investor Ross Gerber, who say it strays from Steve Jobs&#39; vision of simplicity.",benzinga,https://www.benzinga.com/markets/tech/25/06/45852479/tim-cooks-liquid-glass-reveal-is-cool-says-elon-musk-apples-new-software-design-a-hit-or-a-miss-with-everyone-else
AAPL,2025-06-10 02:19:51+00:00,Steve Jobs Would 'Have Fired Everyone': Apple's Liquid Glass In iOS 26 Gets Roasted Online — Dan Ives Calls WWDC 2025 A 'Yawner',"Apple&#39;s new &#34;Liquid Glass&#34; design in iOS 26 is facing backlash for prioritizing aesthetics over usability, with critics — including investor Ross Gerber — suggesting Steve Jobs would have never approved the change.",benzinga,https://www.benzinga.com/markets/tech/25/06/45852236/steve-jobs-would-have-fired-everyone-apples-liquid-glass-in-ios-26-gets-roasted-online-dan-ives-calls-wwdc-2025-a-yawner
