date,userName,text,likes,replies,uri
2025-06-17T10:44:36.935Z,notreload.bsky.social,"$NVAX -2% [Citi started coverage of Novavax with a Sell rating and a $6 price target. They recognize vaccines as essential for global health, but believe Novavax's focus on respiratory vaccines, declining vaccination rates, and uncertain healthcare policies make success difficult.]",0,0,at://did:plc:vvidntidrwdocqgjy5gz2kzc/app.bsky.feed.post/3lrscthyffk2q
2025-05-30T01:43:10.945Z,theoptionsbully2.bsky.social,$ASST $HBIO $QBTS $QIPT $NVAX $OSCR $BRBR $OKTA $URGN $AVGO $SOC $CHWY $NTLA $ESTC $ASPI $DNN $DOMO $DOUG $MRUS www.patreon.com/posts/130226...  💎 5/29/2025 - Part 1 💎Top Unusual Implied Volatility Watchlist & Database 💎IV  Change Details For 100+ Stocks,0,0,at://did:plc:jpr6md55ruqrqlskog3ykywr/app.bsky.feed.post/3lqe46qn5s22p
2025-05-24T00:48:40.477Z,theoptionsbully2.bsky.social,$AAP $NVAX $PPTA $ENPH $MATX $ELAN $URBN $SLDP $SMR $BULL $CMPO $COMM $DJT $MIR $ARBE $ARQQ $ASPI $GSL $IHS $NMAX www.patreon.com/posts/129731...   💎 5/23/2025 - Part 1 💎Top Unusual Implied Volatility Watchlist & Database 💎IV  Change Details For 100+ Stocks,0,0,at://did:plc:jpr6md55ruqrqlskog3ykywr/app.bsky.feed.post/3lpuwdqvvf22t
2025-05-20T19:07:56.040Z,theoptionsbully2.bsky.social,"$PTON $WOLF $LCID $TEM $HOG $F $PDD $ZIM $FSLR $AS $CORZ $TMC $RIVN $CIFR $AMPY $UNH $NVAX $AKBA $CAVA $MARA $USB $MCD $GILD $HOUS $AMTM $MRVL $MRNA $JBLU  www.patreon.com/posts/129454...   🎯 5/20/2025 - Top Unusual Options Live Trade Stocks  ⚠️ 194 of 8,000+ Stocks Chosen As Relevant",0,0,at://did:plc:jpr6md55ruqrqlskog3ykywr/app.bsky.feed.post/3lpmrvq4h7k24
2025-05-19T18:15:37.768Z,theoptionsbully2.bsky.social,"$RUN $GEO $GTM $FIVN $EBAY $GME $NVAX $RDDT $FSLR $BDX $IREN $MPC $GIS $PLUG $SCHW $NEXT $LBTYA $IGT $SHOP $NXE $PSNY $DE $FUBO $CSCO $SIG $MRNA $SOC $SE  www.patreon.com/posts/129362...   🎯 5/19/2025 - Top Unusual Options Live Trade Stocks  ⚠️ 211 of 8,000+ Stocks Chosen As Relevant",0,0,at://did:plc:jpr6md55ruqrqlskog3ykywr/app.bsky.feed.post/3lpk6jatq4s2e
2025-05-19T12:39:47.438Z,investsafely.bsky.social,Stocks in Play - Pre-Market - May 19 2025 $NVAX ↑ $UNH ↑ $IREN ↓ $AUR ↓ $RIOT ↓ $MARA ↓ $CLSK ↓ $RGTI ↓ $TSLA ↓ $SOFI ↓ $WRD ↓ #trading **Not a recommendation to buy or sell** Weekend Update: www.invest-safely.com/stock-market...,0,1,at://did:plc:fbpx23xj7hbkn32atv3fzy4t/app.bsky.feed.post/3lpjlqpyw5227
2025-05-19T12:32:54.803Z,biopharmcatalyst.bsky.social,"$PTIX and Phytanix Bio completed an all-stock merger to form Phytanix, Inc., combining CNS and stress-related disorder pipelines with five preclinical and one clinical asset.  See More Pre-market Movers 👇	 www.biopharmcatalyst.com/news/2025/pr... $PTIX $BCLI $ARMP $NVAX $SKYE $QNTM $GUTS",0,0,at://did:plc:4drh6srkc5sqwbdjhvk6oi7j/app.bsky.feed.post/3lpjlegi6ec27
2025-05-09T13:06:42.855Z,biotechhangout.bsky.social,"#BiotechHangout: Grace Colón, Josh Schimmer, Sam Fazeli, Tess Cameron, Eric Schmidt, Yaron Werber on CBER, surgeon general pick Casey Means, $SRPT stock, Medicaid MFN, tariffs, $NVAX, $GSK), data (Genocury, $PTC), choppy Q1, earnings ($KRYS, $NVO, $RVMD, $BNTX) & more. 12pm ET: bit.ly/3GFK0Bt",1,0,at://did:plc:5oyamqkx6trwiuoc65uwwfxs/app.bsky.feed.post/3loqilnxqz22o
2025-05-08T18:31:45.902Z,theoptionsbully2.bsky.social,"$GPN $VOD $VRNA $BE $SMCI $OLO $QBTS $FCX $MU $EA $DVN $FHN $BROS $IBN $PR $CRNC $PRGO $BN $NWG $PSEC $AI $LYFT $RGTI $ACAD $PTON $IOVA $TEM $NVAX  www.patreon.com/posts/128462...   🎯 5/8/2025 - Top Unusual Options Live Trade Stocks  ⚠️ 162 of 8,000+ Stocks Chosen As Relevant",0,0,at://did:plc:jpr6md55ruqrqlskog3ykywr/app.bsky.feed.post/3lookby2lic2l
2025-05-08T12:48:29.290Z,cmgventure.bsky.social,"US/UK trade deal, Fed keeps rates steady, US to remove chip export restrictions, and bunch of earnings Here is today's market preview: $NVDA $SHOP $MELI $ARM $APP $FTNT $CROX $WBD $CVNA $PZTON $NVAX $SMH $QQQ",0,0,at://did:plc:tywfwvtyd3hhriwacgdiahe6/app.bsky.feed.post/3lonx45lyic2f
