date,userName,text,likes,replies,uri
2025-06-20T23:55:30-05:00,liquiditynews.bsky.social,"ARCA Top 3 most-shorted Stocks (based on Shorted Share Volume not Dollar Value):  $SOXL 18,304,087 shares |  $SPY 15,142,733 shares |  $TSLL 15,138,530 shares |  2025-06-20",0,0,at://did:plc:mmk2lopfinfs5h2muc5jsek3/app.bsky.feed.post/3ls3r6yfn722v
2025-06-18T23:55:28-05:00,liquiditynews.bsky.social,"ARCA Top 3 most-shorted Stocks (based on Shorted Share Volume not Dollar Value):  $RYDE 51,890,365 shares |  $PTLE 16,623,057 shares |  $SOXL 13,525,865 shares |  2025-06-18",0,0,at://did:plc:mmk2lopfinfs5h2muc5jsek3/app.bsky.feed.post/3lrwqb2xckh2v
2025-06-17T23:55:31-05:00,liquiditynews.bsky.social,"ARCA Top 3 most-shorted Stocks (based on Shorted Share Volume not Dollar Value):  $PCSA 30,179,833 shares |  $ACXP 16,090,587 shares |  $SOXL 12,973,407 shares |  2025-06-17",0,0,at://did:plc:mmk2lopfinfs5h2muc5jsek3/app.bsky.feed.post/3lru7s72j3k2s
2025-06-16T23:55:29-05:00,liquiditynews.bsky.social,"ARCA Top 3 most-shorted Stocks (based on Shorted Share Volume not Dollar Value):  $GNLN 54,296,508 shares |  $SOXL 15,214,598 shares |  $TSLL 14,755,700 shares |  2025-06-16",0,0,at://did:plc:mmk2lopfinfs5h2muc5jsek3/app.bsky.feed.post/3lrrpd77mch2s
2025-06-16T13:21:35.221Z,julianthelemur.bsky.social,"$CRCL gap up, heavy call flow $META Ads in whatsapp, pop over 700 (to hold) $TSLA robotaxi on 22nd. Pdh reject, 330 support $AMD pt increase Piper $NVDA pushing pdh $SOXL strength $AAPL below 200 pysch $AMZN near pdh, to take",0,1,at://did:plc:giy5efgcxxghywvrif5tlco5/app.bsky.feed.post/3lrq35aj2a32a
2025-06-10T13:22:21.095Z,julianthelemur.bsky.social,"$TSM increase may revs $NVDA 142.40, 142.90 support. 143.50-144 res, 145 pdh $SOXL if semi sector strength  $CRWV uptrend holding 166.63 res pick a semi, most strong, except $AVGO weakness",0,1,at://did:plc:giy5efgcxxghywvrif5tlco5/app.bsky.feed.post/3lrayf3ijzs23
2025-06-10T04:43:45.241Z,grace2002.bsky.social,"Many kids are just trading the headlines via Direxion leveraged ETFs ($TSLL, $SOXL, $TMF, $SPXL,...) Which means that markets bounce back very fast from any dip. At the end of the day if a recession kicks in in August, earnings will still go down and P/Es will be punishing professional investors.",1,1,at://did:plc:n2dg7esttyhdlljx3ee3uika/app.bsky.feed.post/3lra3fr3uy22h
2025-06-06T23:55:27-05:00,liquiditynews.bsky.social,"ARCA Top 3 most-shorted Stocks (based on Shorted Share Volume not Dollar Value):  $TSLL 15,661,985 shares |  $NCNA 11,597,988 shares |  $SOXL 11,546,340 shares |  2025-06-06",0,0,at://did:plc:mmk2lopfinfs5h2muc5jsek3/app.bsky.feed.post/3lqyknwx2zd2h
2025-06-04T13:17:25.842Z,julianthelemur.bsky.social,"$QBTS offering - reclaimed. $IONQ $RGTI weakness vs $QUBT $QBTS strength ydy  $TSLA European sales continue to drop. Fed probe robotaxi. That was quick. $NVDA strength ydy, with semis $SOXL. Watch pdh for holds $META $AMZN $GOOGL $MSFT sideways days $AAPL relative weakness",1,1,at://did:plc:giy5efgcxxghywvrif5tlco5/app.bsky.feed.post/3lqrvcr5l322a
2025-06-03T23:55:38-05:00,liquiditynews.bsky.social,"ARCA Top 3 most-shorted Stocks (based on Shorted Share Volume not Dollar Value):  $SOXS 14,416,085 shares |  $SOXL 13,095,723 shares |  $TSLL 13,016,734 shares |  2025-06-03",0,0,at://did:plc:mmk2lopfinfs5h2muc5jsek3/app.bsky.feed.post/3lqqzbiiji62h
