date,userName,text,likes,replies,uri
2025-05-31T06:55:48.655Z,librariancapital.bsky.social,"Berkshire Hathaway $BRK.B sold most of its Ulta Beauty $ULTA stake during 24Q3 (disclosed mid-Nov) ULTA share price has risen 21% since end of 24Q3 Stockpicking is ""simple but not easy""",3,0,at://did:plc:5ee45ingxxmg3avkt7rpwsqr/app.bsky.feed.post/3lqh64otuvc2u
2025-05-21T07:34:09.328Z,librariancapital.bsky.social,"""Kraft Heinz Mulls Deals After Berkshire Hathaway Exits Board"" (Bloomberg) ""Timothy Kenesey and Alicia Knapp have stepped down ... (which) reduce the size of the board to 10 members"" ""Berkshire $BRK.B owned 27.5% of Kraft Heinz stock"" $KHC shares down 22% in the last 12 months",1,0,at://did:plc:5ee45ingxxmg3avkt7rpwsqr/app.bsky.feed.post/3lpo3m2dbw22g
2025-05-21T04:30:59.135Z,sofiadividends.bsky.social,"I own all of the 3 mentioned here $BRK.B, $JEPQ & $O. For me probably $MO cause at the moment is my largest individual holding.",3,0,at://did:plc:ajtxewtprpkcq33yyfvkc7dl/app.bsky.feed.post/3lpnrejb7ks2r
2025-05-16T05:29:29.122Z,librariancapital.bsky.social,Key ingredient at $BRK.B is executives selling great businesses to BRK then staying to run them This depends on Buffett reputation for leaving subsidiaries alone in everything Ackman couldn't resist giving $UBER product ideas in public with ~1.5% stake,10,0,at://did:plc:5ee45ingxxmg3avkt7rpwsqr/app.bsky.feed.post/3lpbccjdrak2d
2025-05-05T19:43:46.098Z,patitosfortune.bsky.social,Final Quack! Adding $BRK.B isn’t about chasing returns.  It’s about aligning my portfolio with a structure that quietly compounds over decades.  It’s boring in the best way — and that’s why I love it. Any other first time buyers? #PatitosFortune #BRKB #weirdportfolio #MondayStockShopping,1,0,at://did:plc:qjmnrck5s4svgux6t7ybl2p2/app.bsky.feed.post/3loh4w3hhds2z
2025-04-24T13:43:36.806Z,chartyai.bsky.social,"📊 Market heatmap snapshot 🔥 Big Tech mostly green: $MSFT +0.71% $GOOGL +0.62% $NVDA +1.18% $TSLA +0.82% Finance dragged the mood: $JPM -0.50%, $BRK.B -0.54% $CRM, $INTC, $PLTR popped 💚 Want breakdowns like this in seconds? Let ChartyAI read the market for you. #StockMarket #Heatmap #Trading",0,0,at://did:plc:3hjqgdns5u33x4abieje35lj/app.bsky.feed.post/3lnktntgqoc2o
2025-04-01T06:40:24.214Z,librariancapital.bsky.social,"""Wall St. is the only place that people ride to in a Rolls Royce to get advice from those who take the subway"",  FT investment clinic edition Reader: ""built up a 7-figure portfolio"" with $BRK.B FT columnist: ""for more than 25 years I have either run money""; porfolio size £0.5m",4,1,at://did:plc:5ee45ingxxmg3avkt7rpwsqr/app.bsky.feed.post/3llqbbvl5is2n
2025-03-27T21:14:56.839Z,librariancapital.bsky.social,"""We are not predicting the currents that will come, just how some things will swim in the currents, whatever they are"" - Charlie Munger, Berkshire Hathaway $BRK.B 1998 shareholder meeting",2,0,at://did:plc:5ee45ingxxmg3avkt7rpwsqr/app.bsky.feed.post/3llf7t42xb22d
2025-03-17T12:49:37.117Z,librariancapital.bsky.social,"Bronte Amalthea Fund gained ~8% in Jan-Feb 2025 (MSCI ACWI +2.3%) (AUD) Longs mentioned: $BRK.B $REGN $GOOG $AMZN ""We don’t think this go-go market moment in time has ended"" but ""many stocks could go down well over 70%"" ""Short book is now ~570 positions down from over 700""",2,1,at://did:plc:5ee45ingxxmg3avkt7rpwsqr/app.bsky.feed.post/3lkl6wccttk2j
2025-03-08T08:20:13.842Z,librariancapital.bsky.social,It's more likely Buffett sees the particular Japanese stocks as similar to Berkshire Hathaway $BRK.B in their conglomerate structure and capital allocation,1,1,at://did:plc:5ee45ingxxmg3avkt7rpwsqr/app.bsky.feed.post/3lju3ocofec2b
2025-02-24T14:06:44.762077+00:00,newsquawk.bsky.social,"🇺🇸US pre-market movers ES +0.5%, NQ +0.4%, RTY +0.7%, YM +0.7% $DPZ: Profit, revenue, US SSS all missed; approved 15% increase in Q div. $BRK.B: CEO Buffett endorsed successor Greg Abel; Operating earnings topped expectations, record annual profits $NVDA +1.3%: Developing AI…",0,0,at://did:plc:slgk6citwtfkam7qpcwysxa6/app.bsky.feed.post/3liwjgvc24l2t
2025-02-24T13:57:12.713971+00:00,newsquawk.bsky.social,"🇺🇸US pre-market movers ES +0.5%, NQ +0.4%, RTY +0.7%, YM +0.7% $DPZ: Profit, revenue, SSS all missed; approved 15% increase in Q div. $BRK.B: CEO Buffett endorsed successor Greg Abel; Operating earnings topped expectations, record annual profits $NVDA +1.3%: Developing AI…",0,0,at://did:plc:slgk6citwtfkam7qpcwysxa6/app.bsky.feed.post/3liwivtprad2d
2025-02-24T13:24:20.217590+00:00,newsquawk.bsky.social,"🇺🇸US pre-market movers ES +0.5%, NQ +0.4%, RTY +0.7%, YM +0.7% $DPZ: Profit, revenue, SSS all missed; approved 15% increase in Q div. $BRK.B: CEO Buffett endorsed successor Greg Abel; Operating earnings topped expectations, record annual profits $NVDA +1.3%: Developing AI…",0,0,at://did:plc:slgk6citwtfkam7qpcwysxa6/app.bsky.feed.post/3liwh32lf3u2j
2025-02-24T13:21:49.598339+00:00,newsquawk.bsky.social,"🇺🇸US pre-market movers ES +0.5%, NQ +0.4%, RTY +0.7%, YM +0.7% $DPZ -3.8%: Profit, revenue, SSS all missed; approved 15% increase in Q div. $BRK.B +1%: CEO Bufett endorsed successor Greg Abel; Operating earnings topped expectations, record annual profits $NVDA +1.3%:…",0,0,at://did:plc:slgk6citwtfkam7qpcwysxa6/app.bsky.feed.post/3liwgwlemnu2j
2025-02-15T13:38:05.360Z,librariancapital.bsky.social,"""Warren Buffett’s Berkshire Hathaway $BRK.B slashes stakes in Bank of America and Citi"" (FT) $BAC stake below 10% in Oct, now ~8.9% $C stake reduced by 3/4 (sold $2.4bn) Also, Capital One $COF stake cut  by 1/5 Only new Q4 buy was Constellation Brands $STZ",5,1,at://did:plc:5ee45ingxxmg3avkt7rpwsqr/app.bsky.feed.post/3li7tndytw22t
2025-01-22T17:51:02.165280+00:00,fintwitter.bsky.social,Berkshire Hathaway shares fall 2.21% intraday after Trump halts green infrastructure funding. $BRK.B #AInvest #Ainvest_Wire #market #analysis #investinyou View more:,0,0,at://did:plc:43fdk46qa5gsokzygzildsaq/app.bsky.feed.post/3lgdwlkugyw25
2025-01-06T18:25:42.878Z,earlyretiree.bsky.social,"If you followed $BRK.B $BRK.A into $SIRI, you may still feel lonely. Sirius XM is dirt cheap, is a BRK ""forever"" holding, but remains in the dog house.  So what is Berkshire's game plan? My latest: seekingalpha.com/article/4747...",0,0,at://did:plc:q7xdbmfq2xleku6anzeuxrym/app.bsky.feed.post/3lf3r2tmks222
2025-01-02T11:43:14.941Z,gregbreon.bsky.social,"ANOTHER DRUMBEAT OF WARNING SIGNS… MKT RETURNS HIGHLY CONCENTRATED IN SMALL NUMBER OF STOCKS… GREATEST SINCE GREAT DEPRESSION… FYI, I remain LONG yet am thinking BERKSHIRE ($BRK.B) would be good hedge as one third of cap value is in CA$H!!!",1,0,at://did:plc:rae2n244hu3v2od5jt6wlpqe/app.bsky.feed.post/3leqypij2zc2a
2024-12-19T14:36:59.277Z,kabir9.bsky.social,$tsla & $brk.b are the same absolute price…guess which one im buying#Warren,5,0,at://did:plc:xnlwpghapet6xce75khxcoed/app.bsky.feed.post/3ldo3vbhwqc2h
2024-12-19T05:05:59.617Z,premierstocksleague.com,Check out the latest PSL Tier 1 Week 10 Standings! 🌟 Who's leading the first level in the stock market? 1 $COST️ 2 $MSFT 3 $TSLA 4 $V 5 $KO 6 $AAPL 7 $AMZN 8 $BRK.B 9 $ADBE 10 $BAC 11 $META 12 $GOOG 🔻,1,0,at://did:plc:d3la5ijd2b7lyjy3hc4vvxrn/app.bsky.feed.post/3ldn3yaw4ik2o
2024-12-19T00:18:12.876Z,premierstocksleague.com,📊 Full results from week 10 of the Premier Stocks League $KO def. $AMZN by 5.568 $V def. $BAC by 4.668 $MSFT def. $BRK.B by 0.985 $COST def. $ADBE by 0.212 $TSLA def. $META by 4.634 $AAPL def. $GOOG by 0.097💥 Coca-Cola team of the week #StockMarket #investing #MarketBattle #PSL,0,0,at://did:plc:d3la5ijd2b7lyjy3hc4vvxrn/app.bsky.feed.post/3ldmlvo2xr22l
