date,userName,text,likes,replies,uri
2025-06-23T20:12:34.613Z,roqueig.bsky.social,the reason I mentioned those 4 stocks is just to use the retail and cloud businesses as a proxy  Given the momentum in $MSFT since it reported (and the success of its cloud business) feels pretty clear money is rotating that way in the cloud space  could add $ORCL there as well,0,0,at://did:plc:e3nrhzbnc3di45wzn3n2a2vm/app.bsky.feed.post/3lscfelr3t22s
2025-06-23T13:20:22.818Z,julianthelemur.bsky.social,"$TSLA slightly up on Robotaxi. 328 res, 324.68 support. 322-323 8/21d $AAPL - offering EU concessions in app store talks. Pdh 201.75 to hold, 50d 202.35. 200psych below.    $AMZN 21d 209.29 pivot $NVDA at pdl 142.60 $META 680 support, 690 8d ema $GOOGL weak close, 165 support $MSFT 476 8d ema",0,1,at://did:plc:giy5efgcxxghywvrif5tlco5/app.bsky.feed.post/3lsbodjop7323
2025-06-23T12:37:18.400Z,tradelikecongress.bsky.social,Where did he get all this money? Who knows. We found that Rep. Josh Gottheimer has traded roughly $47M in $MSFT YTD ~ $36M in buys ~ $11M in sells Turns out that he served as Microsoft's General Manager of Corporate Strategy between 2012-2015 Hmm,0,0,at://did:plc:bjcorxossfoabivfmawc6lz4/app.bsky.feed.post/3lsblwiyrck2e
2025-06-23T05:11:33.220Z,mparekh1.bsky.social,AI: Apple has many 'Build vs Buy' choices in AI. RTZ #579 ...Perplexity the latest of many options michaelparekh.substack.com/p/ai-apple-h... #Tech #AI @OpenAI $MSFT $GOOG $META $AAPL $NVDA $AMZN $TSLA @AravSrinivas @perplexity_ai @PerplexityComet,1,0,at://did:plc:l3p22uzi37efemvwkrb75x6r/app.bsky.feed.post/3lsaszgseoc2e
2025-06-22T14:33:03.577Z,sergeycyw.bsky.social,The PSG ratio is instrumental in determining whether a high P/S ratio is justified based on the company’s actual growth trajectory. The chart includes the most popular stocks: $CRWD $PLTR $NET $DDOG $ZS $SNOW $MDB $NOW $AXON $PANW $HUBS $AI $MSFT $AMZN $GOOG $ADBE .,0,0,at://did:plc:jkwctnk6uqs2oydiu6c22fsh/app.bsky.feed.post/3ls7bwl6d232a
2025-06-22T13:27:04.475Z,sergeycyw.bsky.social,"*-Selection criteria: software companies with the majority of their revenue subscription-based, EV over $1 billion, and a gross margin above 40%. The chart includes the most popular stocks: $CRWD $PLTR $NET $DDOG $ZS $SNOW $MDB $NOW $AXON $PANW $HUBS $AI $MSFT $AMZN $GOOG $ADBE $CRM.",0,1,at://did:plc:jkwctnk6uqs2oydiu6c22fsh/app.bsky.feed.post/3ls76ali43u2x
2025-06-22T11:28:03.873Z,sergeycyw.bsky.social,"*-Selection criteria: software companies with the majority of their revenue subscription-based, EV over $1 billion, and a gross margin above 70%. The chart includes the most popular stocks: $CRWD $PLTR $NET $DDOG $ZS $SNOW $MDB $NOW $AXON $PANW $HUBS $AI $MSFT $AMZN $GOOG $ADBE $CRM.",0,1,at://did:plc:jkwctnk6uqs2oydiu6c22fsh/app.bsky.feed.post/3ls6xlrk5iz27
2025-06-22T10:34:04.247Z,sergeycyw.bsky.social,The chart includes the most popular stocks: $CRWD $PLTR $NET $DDOG $ZS $SNOW $MDB $NOW $AXON $PANW $HUBS $AI $MSFT $AMZN $GOOG $ADBE .,0,1,at://did:plc:jkwctnk6uqs2oydiu6c22fsh/app.bsky.feed.post/3ls6ula4qwe2z
2025-06-21T17:07:27.903Z,eliteoptions2.bsky.social,We're in an interesting time in the market we're in. The stocks that lead the market from 2010-2020 are no longer producing the same types of gains the past 2-3 years. $AAPL $MSFT $GOOGL $NFLX $TSLA have been more stagnant the past few years,1,0,at://did:plc:7mpygrasjbzavslfqrqjrf3k/app.bsky.feed.post/3ls523qnqcs2q
2025-06-21T00:36:41.216Z,zonecrypto.bsky.social,"✦ Major Corporations Shun Bitcoin $BTC for Treasury Holdings: Despite the increasing popularity of Bitcoin $BTC, leading companies such as Meta $META, Amazon $AMZN, and Microsoft $MSFT are opting not to include it in their treasury holdings, prioritizing stability over...",0,1,at://did:plc:6kes6jjmzmn4a6nac4v2btlu/app.bsky.feed.post/3ls3cq3xca32n
