date,userName,text,likes,replies,uri
2025-06-23T21:48:32.734Z,littlebirdtrading.bsky.social,For Jun 23rd Buys/Sells littlebirdtrading.substack.com/p/newest-buy... Helping #traders/#investors add patience to their process 7 model #portfolios  #Stocks $IWM $VLO $TSLA $SMCI $CVNA $VZ $QQQ $SPY $CAVA $SBSW $WMT $ORCL #Bonds $USHY #Currencies $FXB $FXA #Crypto $RIOT $COIN #Commodities $PHO,0,0,at://did:plc:5ugfkvas5fmb4ap7utmjtoqb/app.bsky.feed.post/3lsckq74ztk24
2025-06-23T21:17:20.324Z,littlebirdtrading.bsky.social,#Investors can't miss next report 5:30 PM ET  Link to automatically receive it littlebirdtrading.substack.com/p/jun-23rd-l... Helping you add patience to your process 7 model #portfolios  #Stocks $ELF $CVNA $ARKK $TSLA #Bonds $USHY $LQD #Currencies $FXB $FXF #Crypto $BTC $ETH #Commodities $URNJ,1,1,at://did:plc:5ugfkvas5fmb4ap7utmjtoqb/app.bsky.feed.post/3lsciyfhmh223
2025-06-23T20:07:23.992Z,a4xrbj1.bsky.social,"And yet did the stock pumpers (who all got their rides and shared their “mind blowing” reviews) and let’s not forget the Gamma squeeze today again, to push $TSLA up to $357 at the max. $1.5 Billion of fresh capital was poured into Tesla, $1.1 Billion coming from small retail investors.",5,0,at://did:plc:36v5mrng22efx5bxxy3yqdfb/app.bsky.feed.post/3lscf3djrwk2x
2025-06-23T19:44:28.074Z,desota.bsky.social,"Stocks making the biggest moves midday: Tesla, Novo Nordisk, Hims & Hers, Northern Trust, Fiserv and more www.cnbc.com/2025/06/23/s... $TSLA $NVO $HIMS $LLY  $NTRS $BK $FI $CRCL $PYPL $EXEL $BAYRY $SPTN $DJT $SMCI $COP $MPC $APA $HAL $CEG $LEU $UEC $EL $DASH $RTX $NOC $KTOS",0,0,at://did:plc:gm6d67zmun6rxnweyo5k44a5/app.bsky.feed.post/3lscdsddz3c2i
2025-06-23T19:19:02.584Z,kvett20.bsky.social,"With $TSLA headlines versus actual stock performance, it’s easy to be cynical on how winners / losers in the market are chosen. ⬆️ almost 10% today.",1,0,at://did:plc:e4kxv6356qjndmwwm4fqlrz7/app.bsky.feed.post/3lscceujrq22a
2025-06-23T19:16:56.094Z,kakistocracy-usa.bsky.social,$350 is the ceiling for the $tsla pumpers? #teslatakedown,0,0,at://did:plc:xyik5ocqxegej5aw6guhofiz/app.bsky.feed.post/3lsccb3vpbc2z
2025-06-23T17:06:05.007Z,florianch.bsky.social,The stock should tank -10% on the news that they can barely hold it together despite a human supervising and the fact that more than 250B are already priced in the market share of $TSLA,0,0,at://did:plc:dpdebx3fdtlupm5unwyhmga4/app.bsky.feed.post/3lsc2x4jh6s2c
2025-06-23T16:56:50.334Z,rgbose.bsky.social,"Well then, $TSLA stock go up! 🤡",0,0,at://did:plc:e33lxlh47wdyrmyatqudvk4n/app.bsky.feed.post/3lsc2glk6dk27
2025-06-23T15:41:14.106Z,eddiemush.bsky.social,"Today, on the heels of a fake robotaxi launch, $TSLA stock is up 2 Waymos (a company with real robotaxi tech).",0,0,at://did:plc:3a4siq5nfzixahebj2lorntz/app.bsky.feed.post/3lsbw7j5rwo2j
2025-06-23T15:41:10.502Z,eliteoptions2.bsky.social,"$TSLA strong breakout above 334.. now through 343... 350,363 in play next, price action strong here $SPX back above 6000, strong recovery here.. SPX to 6017,6051 in play this week $QQQ to 531 test soon, price action strong here.. through 531 can run to 534",0,0,at://did:plc:7mpygrasjbzavslfqrqjrf3k/app.bsky.feed.post/3lsbw7bzhoc2m
