Ticker,Name
AAL,American Airlines Group
CLOV,Clover Health Investments
INO,Inovio Pharmaceuticals
NVAX,Novavax
SOXL,Direxion Daily Semiconductor Bull 3X Shares
ACB,Aurora Cannabis
CRIS,Curis
OPEN,Opendoor Technologies
SRNE,Sorrento Therapeutics
AG,First Majestic Silver
CTRM,Castor Maritime
IPOF,
RKT,Rocket Companies
STPK,
AMC,AMC Entertainment Holdings
EXPR,
JAGX,Jaguar Health
RLX,RLX Technology
TGC,TGS ASA
AMD,Advanced Micro Devices
EZGO,EZGO Technologies
KOSS,KOSS Corp
RYCEY,Rolls-Royce
TIRX,Tian Ruixiang
BB,BlackBerry
GM,General Motors
LLIT,
SBUX,Starbucks
TR,Tootsie Roll
BBBY,Bed Bath & Beyond
GME,GameStop
MRNA,Moderna
SHLS,Shoals Technologies
TRVG,Trivago
BYDDY,BYD
GNUS,Genius Brands International
NAKD,Naked Brand
SIEB,Siebert Financial
WKHS,Workhorse
BYND,Beyond Meat
GTE,Gran Tierra Energy
NCTY,The9
SLV,iShares Silver Trust
XM,Qualtrics International
CCIV,Churchill Capital
HIMS,Hims & Hers Health
NOK,Nokia
SNDL,SNDL
ZOM,Zomedica
