commentDate,videoDate,videoId,videoTitle,commentId,userName,comment_text,likes
2025-06-21T01:09:57Z,2025-06-21T00:51:31Z,e1fB7YJZCGo,CHAT GET THIS STOCK QUICK I POSTED IT WITH ABT TEN MINUTES LEFT,Ugx2tass4CmUj7ji_IJ4AaABAg,@Juddshorts,I also caught that egg this morning,0
2025-06-21T01:13:11Z,2025-06-21T00:51:31Z,e1fB7YJZCGo,CHAT GET THIS STOCK QUICK I POSTED IT WITH ABT TEN MINUTES LEFT,UgwptDFNLdjYBy-REN94AaABAg,@reemeh3607,"I mean, I got that egg a few hours ago",0
2025-06-21T15:08:47Z,2025-06-21T00:51:31Z,e1fB7YJZCGo,CHAT GET THIS STOCK QUICK I POSTED IT WITH ABT TEN MINUTES LEFT,UgwJSEECKzcLeJpzS4N4AaABAg,@SurlyJusAlayna,MATT DID U GET THE ADMIN ABUSE??,0
2025-06-16T05:52:13Z,2025-06-16T03:23:38Z,49ZaHzg0vcg,3 stocks Keep on radar #stockmarket  #trading #scalpingtradingstrategybanknifty#Stock Abtakk,Ugya_3HKLwC3lIalQ2d4AaABAg,@Palakmodh51,"Sir, what price level would be ideal to consider investing in BSE?🤔",0
2025-06-11T12:20:02Z,2025-06-11T03:08:54Z,jgKAbjNOrMg,Niftyprediction #stockmarket #nifty #stockmarket #earnmoney #intraday #niftytoday # stock Abtakk,UgwYYE-iHgv7urDW7P54AaABAg,@GopalRAWAL-pw5yq,❤😂🎉😢😮😅😊,0
2025-06-10T20:21:35Z,2025-06-10T18:34:47Z,so4Umailj-c,De ultieme test! Audi rs6 abt. Engine swap vs upgraded vs stock!,UgwRR9gWY2l9iLD6Jt54AaABAg,@Glenn-_-GamesNL,Sorry voor de slechte mic!❤,0
2025-06-06T11:44:34Z,2025-06-06T03:31:02Z,AjopgGcxUwg,3 stocks Keep on radar #stockmarket #globalmarket #trading #intraday #nifty # Stock Abtakk,Ugz20ewdxZhqiptWPwp4AaABAg,@Palakmodh51,what about BSE?,0
2025-06-04T09:26:41Z,2025-06-04T08:00:08Z,8DyyjcYy3yg,Anil kumar Abt: Top 5 Best Pharma Stocks | Stock Market Investment Tips  |Best Stock To Buy Now 2025,UgwusEFTFPi6wjRZJFJ4AaABAg,@StevenEric-s3c,"I always look up your videos for update! Our government has no idea how people are suffering these days. I feel for people with disabilities not getting the help they deserve. Thank you Mrs Kathrine Hoagland, imagine investing $1000 and receiving $10,300.",1
2025-06-03T10:31:08Z,2025-06-03T10:09:25Z,iTE0KrQ48dM,power of Education #Stock Abtakk,Ugw9q8WluKmlN6T9q0B4AaABAg,@komalmajithiya,Hooo good attitude sir,0
2025-05-19T16:22:30Z,2025-05-19T16:17:49Z,7wU5dqgMlxw,Power of Long-term investing #investing #trading #stock Abtakk,UgzK1HPJKNJhmk6Vkjp4AaABAg,@sanjaysolanki8932,Please sir apar ind.par video banao short term k liye,0
2025-05-19T16:23:18Z,2025-05-19T07:15:15Z,R6PQ1STutfg,defence stocks market cap #stocks #Stock Abtakk,UgyziQTqwZFwNdJ7-YV4AaABAg,@sanjaysolanki8932,Short term k liye apar ind.par video banao please sir,0
2025-05-19T16:23:54Z,2025-05-19T03:16:28Z,uGIMJSsLM6k,Niftyprediction #stockmarket #nifty #stockmarket #intraday #niftytoday #trading #Stock Abtakk,UgxuNoN3xa720jDvIeN4AaABAg,@sanjaysolanki8932,Apar ind.par video banao short term k liye,0
