commentDate,videoDate,videoId,videoTitle,commentId,userName,comment_text,likes
2025-06-02T16:49:36Z,2025-06-02T10:03:31Z,a4QlLqofkqo,How Long Will It Take For Investors To Earn Their Money Back With Accenture Stock? $ACN,Ugwjm5TKw4oUB-G32Nd4AaABAg,@CroncAstronaut,Can you say anything on OTIS? or is it a too short lifespan to draw any conclusion?,1
2025-06-17T19:53:20Z,2025-06-02T10:03:31Z,a4QlLqofkqo,How Long Will It Take For Investors To Earn Their Money Back With Accenture Stock? $ACN,Ugzn38MEylFOy6Se9mF4AaABAg,@jalilhasan,Baidu please,0
2025-06-02T10:19:56Z,2025-06-02T10:03:31Z,a4QlLqofkqo,How Long Will It Take For Investors To Earn Their Money Back With Accenture Stock? $ACN,UgxWz6lGNYs4dhbddQp4AaABAg,@michaelegy1199,RadNet please thank you,0
2025-03-20T15:10:20Z,2025-03-20T15:08:31Z,QFiaUhAzhWY,ACN Stock Analysis: Is It a Buy or Sell in 2025?,UgyRdcdfkSQzd3D_Tgt4AaABAg,@EthicalEconomics,"Thanks for watching! Sorry about the resolution being off, future videos will be more clear. Let me know what other stocks or crypto currencies you want me to go over.",1
2025-03-06T07:26:37Z,2025-03-06T07:20:18Z,8nL-Xn1YbaA,#ACN Daily Price Chart 03/06/2025 - Accenture plc Chart - Daily STOCK Price Trends Chart Today,UgzPt1anRaF7IsIodJt4AaABAg,@BarışEliçin-j3q,"Thanks for sharing such valuable information! I need some advice: I have a SafePal wallet with USDT, and I have the seed phrase. (alarm fetch churn bridge exercise tape speak race clerk couch crater letter). How should I go about transferring them to Binance?",1
2025-03-06T07:38:08Z,2025-03-06T07:20:18Z,8nL-Xn1YbaA,#ACN Daily Price Chart 03/06/2025 - Accenture plc Chart - Daily STOCK Price Trends Chart Today,UgwErbdgIk7jEBWH7L14AaABAg,@LeonelWalford,"Great content, thanks for sharing! A bit off-topic, but I want to ask: My OKX wallet holds some USDT, and I have the seed phrase. (iron observe slam major mad decorate feed photo awesome vast kitchen faint). How should I go about transferring them to Binance?",1
2025-02-26T00:39:52Z,2025-02-26T00:36:00Z,jEir177Fz34,#ACN Daily Price Chart 02/26/2025 - Accenture plc Chart - Daily STOCK Price Trends #stockmarket,UgzhOfCshYQ7JXDYpzd4AaABAg,@SheltonLarson,"Great content, thanks for sharing! I have a quick off-topic question: I have some USDT in my OKX wallet, and I have a 12-word recovery phrase: iron observe slam major mad decorate feed photo awesome vast kitchen faint. What steps do I need to follow to transfer the USDT to my Binance account?",1
2025-03-16T13:29:41Z,2025-01-21T11:48:14Z,fDehsHXNRnE,ACN - Accenture plc: Stock Analysis | Is it a Buy? | Jan 2025 | Investment Insights,Ugx7tmcuo3Gq7WwtpkB4AaABAg,@sandeshmd7580,Thank you!!,0
2024-12-18T15:42:35Z,2024-12-18T15:41:03Z,E3aWqKTrHqY,Microsoft vs Qualcomm vs Accenture | Dividend stock analysis | MSFT QCOM ACN,UgyWwEx7INg7tyk_Z-V4AaABAg,@DandyFinance,QCOM: Buy or Sell?,2
2025-01-05T22:38:03Z,2024-12-18T15:41:03Z,E3aWqKTrHqY,Microsoft vs Qualcomm vs Accenture | Dividend stock analysis | MSFT QCOM ACN,UgzuoK595DF043nAIYd4AaABAg,@mr.dividend.investor,MSFT is definitely a buy for me! Thanks for the analysis! Big Liked #4,1
2024-12-21T07:21:25Z,2024-12-18T15:41:03Z,E3aWqKTrHqY,Microsoft vs Qualcomm vs Accenture | Dividend stock analysis | MSFT QCOM ACN,UgxkT0vuqLdu06_luB94AaABAg,@KeremUtkuSabuncu,"Yeyy appreciate your contents with the increasing quality year by year! Let's wait for the next move of Qualcomm, they wouldn't only watch the moves of Broadcom and others. In mid term a great up pricing will come",0
2024-12-18T16:42:02Z,2024-12-18T15:41:03Z,E3aWqKTrHqY,Microsoft vs Qualcomm vs Accenture | Dividend stock analysis | MSFT QCOM ACN,Ugzt5FO_DQBnteSElAx4AaABAg,@dividendinvestor070,A definite buy!,0
2025-05-17T05:04:36Z,2024-12-17T07:37:10Z,iDWqqwOi9wY,"Accenture (ACN) stock, #ACN, #accenture, #akcjezeskrawkow",Ugz0-RcfxALMVR9YzZN4AaABAg,@gregrada5717,"hej może zrobisz analizę AIT , ciekawy podmiot teraz może trochę drogo ale jak zmieni się polityka usa to może tutaj się duzo dziać , dywidenda mała procentowo ale wzrostowo spółka stabilna , prognoza +20% , eps rosnące pozdrawiam",1
2024-12-17T08:33:45Z,2024-12-17T07:37:10Z,iDWqqwOi9wY,"Accenture (ACN) stock, #ACN, #accenture, #akcjezeskrawkow",UgyJ0lxSzY_ggeNyaKZ4AaABAg,@konopcaki6586,Czyli brać?,1
2024-12-18T00:38:05Z,2024-12-07T03:00:00Z,XrbOmDBGcXE,Is Accenture a Buy Right Now? (ACN Stock Analysis),UgyBXXBThs62LQQvXQV4AaABAg,@pinotwinelover,"That's a week of analysis, fundamental and technical rings are released Thursday or Friday. I expect a big pop it one long calls, short term and then some weeds because even if earnings art massive way over expectations I think there looking forward is gonna be super solid with the dive in the AI.",1
2025-03-17T21:05:13Z,2024-11-17T16:00:15Z,N-pC2HBlQLc,DON&#39;T BUY Accenture Stock (Until You Watch This Analysis) #ACN,UgxUOANNlrlo15KHqdl4AaABAg,@jeremykyle1284,"hello, im an employee at accenture and we a 15% discount if we buy stocks. should I invest?",1
2024-09-13T13:54:55Z,2024-09-12T22:40:48Z,gWF4scBE7nM,Accenture Stock Analysis: Here&#39;s My Buy Price $ACN,Ugxmim6ta-N7MCHTfAh4AaABAg,@mortenmortensen1295,"Hi Cory - ACN pays a 1,5% dividend which is steadily growing by at least 10% pr year. Shouldn't this dividend be part of your calculation for fair value and buy price? The way I see it, it comes on top of whatever earnings growth that you estimate for the company. Also it comes on top of the current earnings yield, which you use in the video as the baseline for projecting cagr going forward. I mean, if company XYZ was a mirror image of ACN both in the past, presently and in future earnings estimates, doing the same buy backs, acquisitions and other uses of cash, but pays no dividend, then you wouldn't give it the same valuation/ buy price, right?",0
2024-09-13T10:00:45Z,2024-09-12T22:40:48Z,gWF4scBE7nM,Accenture Stock Analysis: Here&#39;s My Buy Price $ACN,UgwGADzCH2ixg7ltgpZ4AaABAg,@wrickaz,What are your thoughts on APTV?,0
2024-09-13T05:27:01Z,2024-09-12T22:40:48Z,gWF4scBE7nM,Accenture Stock Analysis: Here&#39;s My Buy Price $ACN,UgzmSXOC315xp3ytoFR4AaABAg,@marinik85,"the only question is how will they be affected by AI: negative or positive, will they be replaced or will they succeed in integrating it!",0
2024-08-24T22:55:14Z,2024-08-24T15:00:53Z,sSr_Rp-g3VI,Accenture Stock Analysis: Buy or Sell?  --- $ACN,Ugx382LxGKTw4m805Fx4AaABAg,@davidt-u5u,Interesting comparisons between all these IT Services companies.,0
