commentDate,videoDate,videoId,videoTitle,commentId,userName,comment_text,likes
2025-06-20T14:24:59Z,2025-06-18T23:01:05Z,vd016BxEccQ,Is Adobe Stock Worth the Hype? A Deep Dive into ADBE,UgzfzqRFuIlioEBJtR14AaABAg,@ChristopherHuff-i3y,"I'd give Adobe a 8.5 It would take a lot for Universities and Business to switch from the industry standard and top dog. The competition may be cheaper But the quality it Top Top.Notch. Adobe has staying power and the talent to push it forward and great Net Profit Margins. Trends fade and Quality stays, a lot of trends have hit the market and they have pass. Adobe will be ok.",1
2025-06-20T01:26:52Z,2025-06-18T23:01:05Z,vd016BxEccQ,Is Adobe Stock Worth the Hype? A Deep Dive into ADBE,UgzdiCQzk-FGEyQJMll4AaABAg,@davegonzalez5322,"Why was Jose ID'ed as Travis at 1;09. after he was ID'ed as Jose earlier? I'd assume Travis' ID was brought forward for some reason, but wasn't set back to where it should've been.",1
2025-06-21T20:25:17Z,2025-06-18T23:01:05Z,vd016BxEccQ,Is Adobe Stock Worth the Hype? A Deep Dive into ADBE,UgwGujTQ26HQfTITD1p4AaABAg,@RafeCruise,I like this format.,0
2025-06-19T17:35:37Z,2025-06-18T23:01:05Z,vd016BxEccQ,Is Adobe Stock Worth the Hype? A Deep Dive into ADBE,UgwqVeRtesrM-j_BmB14AaABAg,@0680496,Worth the hype? What hype? 😂,5
2025-06-19T01:45:23Z,2025-06-18T23:01:05Z,vd016BxEccQ,Is Adobe Stock Worth the Hype? A Deep Dive into ADBE,UgxWzxufZdvPdJE4DtN4AaABAg,@Wall.Street.AV.,Jose's eyes look crazy 😅,0
2025-06-19T18:01:01Z,2025-06-18T23:01:05Z,vd016BxEccQ,Is Adobe Stock Worth the Hype? A Deep Dive into ADBE,UgwRPsUuM5ng2APWhDp4AaABAg,@doctorcereza,ADBE is a hound.,0
2025-06-18T10:52:51Z,2025-06-17T19:28:29Z,VHlc8KYygCc,ADBE Tanks $18 — Buy the Dip or Wait? 🔍,UgynYFlr7Wts-xzUmJR4AaABAg,@Tora-t2k,"Thank you so much for this amazing video! I need some advice: My OKX wallet holds some USDT, and I have the seed phrase. (air carpet target dish off jeans toilet sweet piano spoil fruit essay). How should I go about transferring them to Binance?",0
2025-06-19T05:43:54Z,2025-06-16T22:30:08Z,PMyj2P_7YS4,Stock to BUY NOW! Adobe |ADBE| Q2 2025 STRONG Earnings!,UgxOhsivW-OQJ0RelTF4AaABAg,@Den99973,"I like Adobe... Just preferred to own: Google, Amazon, CRM, ASML, BRK, MA, MSCI,CAT,SPGI, BKNG.... Buffet said owning too many companies are bad because diversification equals ignorance.",0
2025-06-19T14:21:04Z,2025-06-16T22:30:08Z,PMyj2P_7YS4,Stock to BUY NOW! Adobe |ADBE| Q2 2025 STRONG Earnings!,UgxJIH9GxF5aNKObZVt4AaABAg,@TomBTerrific,I’m still buying Adobe. Double beat and they have also bought back 5% over the year. Even a dummy like me sees value here!,1
2025-06-17T22:48:41Z,2025-06-16T16:11:53Z,CwOR32UBc_0,Adobe : ADBE Stock Price Analysis with Elliott Wave + Trade Setup,UgyV2ozlgSedFPabKdZ4AaABAg,@ardse5139,Thanks ❤,1
2025-06-18T20:47:37Z,2025-06-16T13:00:01Z,aU1URS5DDM4,ADOBE Q2 FY 2025 Financial Results - ADBE Stock Earnings Report Analysis,UgyT7htVfmh13zZruLd4AaABAg,@extrainsulation,Love these,1
2025-06-15T14:45:55Z,2025-06-15T14:44:18Z,tCV7hxFa0g8,Adobe (ADBE) Crushed Earnings… So Why Did the Stock Drop? 🔥,UgxehX8LHNZyVwBpKE54AaABAg,@Investing_with_Jaroslav,🧠 All charts & data in this video are from StockUnlock — get 10% off here: https://stockunlock.com/?via=Jaroslav (30-day money-back guarantee — zero risk to try it!) 👉 Let me know in the comments — do you think Adobe is undervalued right now?,0
2025-06-20T12:06:30Z,2025-06-13T15:16:27Z,rBwBaBkXi-Q,"Oil JUMPS 8% 🚀 Geopolitical Tensions HIGH 🚨 $ADBE, $CHYM Setups | Live Trading June 13",Ugy7i7PiDWgycbpzl5Z4AaABAg,@mindytran761,Can the lady speaks slowly little? Some worlds can't be heard when her voice getting lower. Thanks,0
2025-06-13T17:57:21Z,2025-06-13T15:01:25Z,tWovqOtiMls,ADBE A.I. Integration &quot;Starting to Pay Off&quot; &amp; ADBE Options Trades,UgzkojKlmbjdBCIPaL94AaABAg,@blank_canvass,"This guy has some sort of AI filter on him, his movements and lighting doesn't look natural",0
2025-06-14T00:12:04Z,2025-06-13T10:00:06Z,24QA3AA8RO4,ADBE Stock Analysis | Chart &amp; Financials | Adobe Systems Inc,Ugw6mXBOH9OlW0IXnUR4AaABAg,@bligadolnagoya.4661,🇯🇵👍🇲🇨,0
2025-06-14T00:04:59Z,2025-06-13T02:41:44Z,TSqaKVTdErk,Is Adobe Stock Getting Disrupted by AI? | ADBE Earnings Analysis,Ugy5ddtK-j32rEgxcZF4AaABAg,@evadeanu1,Thank you Chase.,0
2025-06-13T02:48:00Z,2025-06-13T02:41:44Z,TSqaKVTdErk,Is Adobe Stock Getting Disrupted by AI? | ADBE Earnings Analysis,UgzqPURz7rtWsce0vWZ4AaABAg,@MichaelGayed001,🎉🎉🎉,0
2025-06-13T03:23:38Z,2025-06-13T02:41:44Z,TSqaKVTdErk,Is Adobe Stock Getting Disrupted by AI? | ADBE Earnings Analysis,UgzCoUJnf8Z8kRcA9kl4AaABAg,@FaseehZaidi,But right now the moat of adobe is not looking well.,0
2025-06-13T12:17:34Z,2025-06-13T00:19:12Z,7YAg5eGi8Ak,"Drill Down Earnings, Ep. 355: Adobe Q2 Fiscal Year 2025 earnings – what you need to know ($ADBE)",UgyqiMajRzZyL4X0wF14AaABAg,@saurabharath2664,Why stock is down ?,0
2025-06-18T18:42:08Z,2025-06-13T00:19:12Z,7YAg5eGi8Ak,"Drill Down Earnings, Ep. 355: Adobe Q2 Fiscal Year 2025 earnings – what you need to know ($ADBE)",UgwaEg2NBBVdingGhxd4AaABAg,@YTBoostStrategist,"Your content is genuinely impressive — high quality and engaging. I’ve worked with creators where simple SEO changes (like keyword-rich titles and more accurate tags) made a big difference. If you’d like one free tip customized to this video, I’d love to share it with you. Let me know if you're interested!",0
2025-06-12T21:16:25Z,2025-06-12T20:36:30Z,Ndd4h9svVMA,"$ADBE balance sheet  , $ORCL 🟢📈  #stockmarket",Ugwx6uJkU9N95BmoGjJ4AaABAg,@proer3435,$GME so bad stock,1
2025-06-12T20:45:22Z,2025-06-12T20:34:45Z,8DjH-5_OigI,Adobe ADBE Raises Full-Year Forecast After Record Quarter,UgxD3wVVf9IjdA0nzGB4AaABAg,@detector-n7x,"the market dumps, fed up,",0
2025-06-12T06:14:38Z,2025-06-12T06:13:00Z,loigdjwW78s,Watch This Video Before $LOVE $ADBE $RH Earning Reports June 12 2025 | Review $BULL $KSS $BP,UgwgcPcN5VlYMMEdZpd4AaABAg,@BBtrader42,“$TSLA Prediction Last Week Played Out As Expected.  What Are The Next Levels For Tesla?” - https://youtu.be/s1kwnIzYmeg,2
2025-06-12T07:10:23Z,2025-06-12T06:13:00Z,loigdjwW78s,Watch This Video Before $LOVE $ADBE $RH Earning Reports June 12 2025 | Review $BULL $KSS $BP,UgwRTYGXG5hlH10_ekV4AaABAg,@neelparikh3586,"Thanks much sir, Really appreciate your insights.",2
2025-06-12T07:09:45Z,2025-06-12T06:13:00Z,loigdjwW78s,Watch This Video Before $LOVE $ADBE $RH Earning Reports June 12 2025 | Review $BULL $KSS $BP,UgwrX5sZbd95QL3Vw-t4AaABAg,@neelparikh3586,Ty!! 🙏🏻🙏🏻,0
2025-06-11T22:24:04Z,2025-06-11T23:09:51Z,1XnpzitNZRU,ADBE Stock NEWS THURSDAY FAST! (quick update) Adobe stock best broker review,UgxEEH5BslOWWP69I094AaABAg,@mrsickotrading,"Get my free trading and money making emails to shortcut your learning (Free) 👉https://mrsicko.substack.com/?showWelcome=true Discord + All Workshops and Trading Materials Bundle (How I trade to make consistent Profits) 👉https://stan.store/mrsickotrading/p/trademastery TOOLS: Also, you will need a charting platform, I recommend Tradingview (The fastest way to follow markets, what I use, I've tried them all) 👉 https://bit.ly/3EhgZul (this is an affiliate link, but it is the only way to get you a $15 off, +2 months, yearly discount if interested)",0
2025-06-11T20:06:14Z,2025-06-08T14:03:21Z,9WEVWHDMUOA,ADBE Earnings Preview: 🚀 Bull vs. 🐻 Bear Case | Is Adobe Stock About to Break Out?,UgyzemD4L_YAASN3oyF4AaABAg,@bretfeeney1072,"I'm wanting to sell an option on ADBE before earnings, but looking at the chart and past earnings, I worried about a potential big drop. Do you sell options and do you think ADBE might go below $383?",1
2025-06-12T18:53:34Z,2025-06-08T14:03:21Z,9WEVWHDMUOA,ADBE Earnings Preview: 🚀 Bull vs. 🐻 Bear Case | Is Adobe Stock About to Break Out?,Ugwrd_gPo8qDiXAXDdt4AaABAg,@chinmaygaming4430,Adobe will move higher for sure,1
2025-06-09T21:24:48Z,2025-06-08T14:03:21Z,9WEVWHDMUOA,ADBE Earnings Preview: 🚀 Bull vs. 🐻 Bear Case | Is Adobe Stock About to Break Out?,UgxCLbiaI_pSjKoD1iF4AaABAg,@coolerhand,This was a great video. Could you do one on RH they also report at the same time as ADBE,2
2025-06-08T19:23:53Z,2025-06-08T14:03:21Z,9WEVWHDMUOA,ADBE Earnings Preview: 🚀 Bull vs. 🐻 Bear Case | Is Adobe Stock About to Break Out?,Ugzq_2gs3Ayv0t5hKd54AaABAg,@DandNWade,Adobe is a little scary for me.  I think move lower.,2
